,Value
Invested,5220000.0
Final value,698895983.8873411
Wealth multiple,133.88811951864773
XIRR,0.1694707491446084
TWR CAGR,0.18011598568074572
Volatility,0.12819741185804556
Sharpe,1.3646308430784424
Sortino,2.3963716584188117
Max drawdown,-0.39030985931210915
Calmar,0.46146921832358057
Worst wealth drop,-0.3844409502456564
Annual sell turnover,0.0
Annual cost drag,1.3381351409469385e-06
