Month,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
1983,0.26553847775608963,0.06759498605953906,0.14523054279646486,0.09391190998486332,0.052309910252557934,0.07295375334565657
1984,0.22615259394469356,0.1838908763670517,0.19828803368277326,0.23179363491226268,0.24571616733789403,0.2416796562842649
1985,0.2979888264155459,0.19805426902868195,0.2287719132275179,0.2152142980904399,0.23889409817221585,0.22715209805126868
1986,0.3425140498219754,0.3376488087353742,0.33795253292691974,0.34221059724693803,0.34053070403643737,0.34364616457586994
1987,-0.017585456172741987,0.03103717105016579,0.02272854033589522,0.019593693664624823,0.0013550076522959031,0.01054711222219229
1988,0.37885684197765745,0.21739474898493127,0.2785787450286612,0.2322153855182847,0.2525282546733991,0.24228949052753768
1989,0.46736918880728906,0.32333556608325487,0.36751227093387917,0.32281512817080493,0.3439401377383182,0.3339916663443432
1990,0.04510672840085039,0.06703258910665277,0.05343928101168238,0.0815365393626768,0.0927365177695989,0.08455497119017807
1991,0.7384911496967748,0.6229093075366292,0.6463040123135453,0.5924220988714293,0.6218823397520716,0.6034888959252227
1992,0.29637635356264624,0.22190637722826523,0.23158866599650763,0.18871276226426792,0.2188044009971939,0.205099145831388
1993,0.1929388199866584,0.217970384174609,0.21124911134024038,0.2287711749240322,0.22898802656901207,0.22872047323388012
1994,0.002827533365945767,-0.030069017907497275,-0.015795157987939956,-0.030190359940654887,-0.04957352008890614,-0.03972650028295788
1995,0.5417670203421827,0.4096541711167241,0.42890561762115653,0.3349962479501276,0.36923493015740183,0.35247397310549355
1996,0.2677822224703692,0.14457840222416896,0.16552223826584767,0.08489543155845558,0.09987465932537787,0.0948355230515241
1997,0.44683548062866163,0.29300171675744013,0.2824104097639262,0.13810296775862163,0.2744967982590578,0.20682614828362467
1998,0.3564778246340059,0.29835649971066025,0.2811242511140808,0.2235373459570269,0.31245652360869336,0.2681512037802576
1999,0.24216483199319527,0.13714786642799304,0.13408717622216848,0.05355024527767416,0.1225746255162945,0.08839419685069805
2000,0.013079822475546177,0.06934805547164968,0.06024604670688949,0.08972762200434858,0.059307890004735686,0.07985172408376351
2001,-0.10674954516696511,-0.04000817302470283,-0.03760873781087071,0.021696221923587,-0.04340840424837655,-0.009208007387486616
2002,-0.1983054329142253,-0.055567475053005966,-0.04872629973883291,0.0505554391454337,0.01489435914660997,0.03678412062864389
2003,0.15710462049150054,0.08127706552030811,0.11910355167675513,0.08628419580755464,0.032300926259386964,0.057983964744977134
2004,0.08523842205828802,0.05310323433578468,0.06134012133710964,0.04313336825750258,0.033041653885634625,0.038033928913809634
2005,0.11255399212503026,0.10537811579153478,0.1199914411794536,0.12068404424468837,0.09284567398303123,0.10886450923034219
2006,0.1153939642371109,0.09390065622825916,0.11371496584745744,0.10334409568576364,0.06925586414181306,0.08789976329018523
2007,-0.05910975208283753,-0.028246023809555654,-0.017581346689719557,-4.0144707823430714e-05,-0.013834575929572046,-0.006661774850008739
2008,-0.25132164832865134,0.04159268251367565,-0.006509459533967088,0.18445514499437698,0.21730057791481916,0.20270499876117887
2009,0.2477256053127057,0.11504558678152987,0.19413981972888572,0.10324065251854986,0.04866897548761684,0.07629813189759993
2010,0.10515686158130588,0.09650936315504244,0.1056387354995223,0.09293447748203021,0.09943856491545833,0.09830168798627525
2011,0.1856230182901637,0.27794178019689153,0.25269595419882496,0.3049545482222875,0.33081192113696734,0.3124796987633418
2012,0.21813017042989102,0.13696328700304305,0.16261435178556538,0.1296667924533892,0.11364399148442828,0.12319348028354082
2013,0.4669160720597185,0.17455847165008254,0.25249800298561964,0.13339540376248626,0.1033441992481885,0.11871645431595312
2014,0.1752032077488106,0.12511627757501298,0.12535657503211217,0.10970797945944799,0.1063758020092942,0.10631786109882535
2015,0.08196162454190636,0.061410885360446255,0.05513543408145649,0.04866375055388761,0.048511471672772144,0.050177751458950315
2016,0.1390990032510917,0.09828714029967078,0.10566919120524898,0.08331935635347976,0.08646204835399329,0.08599062324746898
2017,0.14549878982278663,0.08672706384547268,0.08975016769658639,0.059542686383214916,0.06601522066861532,0.06284280081503169
2018,0.08231903970557641,0.08582078893679035,0.08593846825944795,0.08799756720734297,0.08749305960549769,0.08773211782821311
2019,0.26712812058970936,0.22166753947068019,0.22155669313562054,0.19536893403083244,0.21943776691478112,0.20759564751210058
2020,0.2259935791140717,0.21614319018836659,0.22289407928639582,0.21519696751165074,0.23034993988219,0.23331072778735096
2021,0.3134861314118913,0.2030081001175872,0.18278393688770866,0.10796115160637498,0.14835532330159196,0.12745643636520532
2022,-0.07015222811364752,-0.05109807757035745,-0.03633343491615415,-0.029663291252486013,-0.053863300843035145,-0.04152147422193686
2023,0.22841250799130708,0.18186597778802227,0.16747486558856006,0.11649494645402259,0.14492038552566777,0.13044826313978364
2024,0.32984722219029416,0.28872044589679935,0.27105373913880704,0.20736345339990492,0.24717354248360923,0.22676717619933884
2025,0.22712310613822528,0.2805028333487545,0.3066895986335114,0.3066990443209787,0.3696071732423274,0.33997869718211304
2026,0.1729127536741386,0.13187764069942154,0.11533178108809916,0.08603449560564025,0.0890264739308686,0.08897445784757418
