Equity,Bonds,Gold,XIRR,Volatility,Sharpe,Max drawdown,Worst wealth drop
0.0,0.0,1.0,0.11956595887731411,0.12995058425409942,0.847167809208179,-0.25118973004762446,-0.23502623730759054
0.0,0.1,0.9,0.11869329908438184,0.1200180984686634,0.9275117933235552,-0.20636161349762228,-0.19738975532702097
0.0,0.2,0.8,0.11769942072438286,0.11082776518114902,1.0143224041960814,-0.1705532310901693,-0.16223302354283775
0.0,0.3,0.7,0.11656267476172233,0.10257370761016674,1.1053706380693886,-0.14592389990730714,-0.13454755707128374
0.0,0.4,0.6,0.11526108134513195,0.09550040065534285,1.1960135225240451,-0.13126630113614768,-0.13027871371055
0.0,0.5,0.5,0.11377234806072857,0.08989651531861956,1.278458744102333,-0.12684910176978548,-0.12589744213741927
0.0,0.6,0.4,0.1120737919779197,0.0860682791501683,1.342069632657053,-0.12231874372904195,-0.1213981585627032
0.0,0.7,0.3,0.11014216483095994,0.08428664657878604,1.3757955778768243,-0.12402021902639793,-0.12060352549954778
0.0,0.8,0.2,0.1079533777679729,0.08471961113360747,1.372559092223756,-0.131997091682429,-0.12869734777260622
0.0,0.9,0.1,0.10548211686620394,0.0873828093725838,1.3328986902768576,-0.14453701184369416,-0.14050880682253697
0.0,1.0,0.0,0.10270133261119854,0.0921407760265339,1.2646756019448202,-0.177006486988332,-0.17209605468903133
0.1,0.0,0.9,0.12609053908830287,0.11718430600911091,1.0024452067849328,-0.16521571270576585,-0.1504177626041895
0.1,0.1,0.8,0.12522468749903198,0.10765493950655788,1.1015054846702645,-0.1371490890563214,-0.12627056897501632
0.1,0.2,0.7,0.12421418317867271,0.09901266468840805,1.2075880818562488,-0.11497914393622699,-0.11406814353277062
0.1,0.3,0.6,0.12303850657401579,0.09151081250671515,1.3159576752381932,-0.11045439153512493,-0.1095816836132899
0.1,0.4,0.5,0.12167713752954926,0.0854602994146857,1.41770147043613,-0.10581430068598074,-0.10497542231803503
0.1,0.5,0.4,0.12010859235639756,0.08120565782103596,1.4994672376499525,-0.1010551955656297,-0.10024569020843732
0.1,0.6,0.3,0.11831117310981022,0.07906700963157785,1.5461354411451178,-0.09616871503480806,-0.09538413581090144
0.1,0.7,0.2,0.11626218550499011,0.07925593429831727,1.5469559990239738,-0.09452780192112642,-0.09165399667816043
0.1,0.8,0.1,0.11393720004810383,0.08180624441351081,1.5015322039005898,-0.10268046711970746,-0.0998976190469486
0.1,0.9,0.0,0.11130804183141058,0.08656834656437538,1.4200476300238287,-0.12287760214084564,-0.11912070078131709
