Look-back (months),Execution,XIRR,Volatility,Sharpe,Worst wealth drop,Annual sell turnover
60,band 3%,0.13022944900461292,0.0789837439311729,1.7034139975032327,-0.08368263879391147,0.1165230350275843
60,band 5%,0.1306364423858012,0.07911401275229657,1.7057659876140954,-0.083598572249719,0.08393214580182337
60,band 10%,0.13160690025850538,0.07978807134805213,1.7015341665384847,-0.08960276014292878,0.06130997035764552
60,pro-rata + annual rebal,0.1315997180001378,0.0792263533355038,1.7098957804653776,-0.08937997043916046,0.0790934643423641
60,"smart, never rebalance",0.13017309071982539,0.07991984426720597,1.6776775417078786,-0.0838698760962503,0.0
120,band 3%,0.1277510532942668,0.07885554003859212,1.7050436153381618,-0.08981411577297838,0.08278247695256793
120,band 5%,0.1284764706536953,0.0788632527440311,1.7112958619606558,-0.0889874445478106,0.07713050205679692
120,band 10%,0.12838675512281855,0.07983948552955947,1.6926562145373516,-0.09176100571574486,0.02932481458913729
120,pro-rata + annual rebal,0.12612733017520772,0.07934833390700365,1.680015601262102,-0.08859986003380271,0.05562760853588314
120,"smart, never rebalance",0.12887513324790353,0.08016144602898598,1.6912259995282397,-0.08309233974671948,0.0
180,band 3%,0.12640555678105533,0.07707204230584123,1.7270267453218942,-0.08485675713590157,0.0736283082299807
180,band 5%,0.12667585413174542,0.07726117909578746,1.7269536043665197,-0.08521649535963916,0.0456748012170767
180,band 10%,0.12897359519239007,0.07781251943437041,1.738891069724822,-0.08623211343590897,0.02236766122198244
180,pro-rata + annual rebal,0.12823827665595555,0.07717836549005179,1.7457588024130397,-0.08355918351155667,0.04845852319625544
180,"smart, never rebalance",0.12984211692373718,0.07994083610941832,1.7045223851873126,-0.08299646367435298,0.0
