,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
1987 crash (Sep-Nov 1987),-0.2569127049536899,-0.10428511685427644,-0.16546626001039766,-0.08614945705069332,-0.08984820568363017,-0.0879385751377858
Dot-com bust (Sep 2000-Sep 2002),-0.3632605667934554,-0.1357731251503943,-0.1308598147464518,0.06146490953972905,-0.07240657341002321,0.0009089586982655717
Global financial crisis (Nov 2007-Feb 2009),-0.3239737208288993,0.04118777448574429,-0.013803040404078648,0.22701319556951738,0.28021836236534603,0.2546645055006438
COVID crash (Feb-Mar 2020),-0.15095367651281832,-0.06154405131476015,-0.05002705195986801,-0.003257475129776144,-0.03479259714170779,-0.016342114421369902
2022 rate shock (Jan-Sep 2022),-0.11328467139229492,-0.09763120705810235,-0.0871897184711724,-0.0795724633058571,-0.09651722788915207,-0.08733609589952307
