Strategy,Invested,Final value,Wealth multiple,XIRR,TWR CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar,Worst wealth drop,Annual sell turnover,Annual cost drag
Equity SIP,5220000.0,698895983.8873411,133.88811951864773,0.1694707491446084,0.18011598568074572,0.12819741185804556,1.3646308430784424,2.3963716584188117,-0.39030985931210915,0.46146921832358057,-0.3844409502456564,0.0,1.3381351409469385e-06
Equal-weight SIP,5220000.0,309463387.2129151,59.28417379557761,0.1438208461983027,0.14915829592806773,0.08428712832388371,1.7000353603499148,3.8200191367921787,-0.14524460977285858,1.026945482943082,-0.1319575388653016,0.0,2.6048097855867455e-06
60/20/20 annual rebal,5220000.0,395730115.35235655,75.8103669257388,0.15157596809641047,0.15914060608543612,0.08747633393891792,1.7412142109014985,3.8870464485731837,-0.16714283925363138,0.9521233861771832,-0.14012947370711282,0.038346334750291436,7.874888850328212e-05
Risk-parity SIP,5220000.0,227250221.6173218,43.53452521404632,0.134053008827262,0.14191981350375626,0.07563951671834389,1.8007397261061586,4.692369904931207,-0.0861494570506931,1.6473674746463707,-0.08191071472902578,0.05200556264118047,0.00010704157428290975
Max-Sharpe SIP,5220000.0,270309128.67793745,51.783357984279206,0.13954643722530857,0.14667925195455167,0.08440936279040775,1.6716859214015802,3.9540785281112902,-0.12459984522239875,1.1772025213413653,-0.11813111564787293,0.10433554823492944,0.00021145231175135105
Optimized SIP,5220000.0,255750794.2502688,48.99440502878712,0.1377950721342693,0.14524675609893833,0.07875201201273761,1.7699330495535013,4.466443148611632,-0.09078860986056614,1.5998345642918141,-0.09006110870230244,0.07909491652262308,0.00016102736131303825
