Strategy,Windows,Median XIRR,5th pct XIRR,Worst XIRR,Best XIRR,XIRR std,% windows XIRR < 0,% windows beating Equity SIP,Median worst drop,Worst drop (any window)
Equity SIP,403,0.16823209193517763,0.015907974460988183,-0.04677748136062659,0.32836530834261785,0.09008011933185185,0.02481389578163772,0.0,-0.16265766858913622,-0.3079487801217886
Equal-weight SIP,403,0.12270354075965766,0.07985631835037924,0.06539450516338359,0.26011517898860237,0.04833275235841569,0.0,0.2555831265508685,-0.043432912493807985,-0.07585867972646043
60/20/20 annual rebal,403,0.13854529331054827,0.059734627182771616,0.037702614738914834,0.2732464853625199,0.05888508940219298,0.0,0.28287841191067,-0.06658463234686907,-0.14012947370711282
Risk-parity SIP,403,0.11974767624201131,0.07334980177563485,0.06082739384053218,0.25753974028803356,0.04453438987163999,0.0,0.24813895781637718,-0.040431178150492686,-0.07959860587303391
Max-Sharpe SIP,403,0.12074228075887748,0.0562908809494392,0.03467927507905017,0.27570860596865154,0.05771005800520162,0.0,0.18362282878411912,-0.05161241395819871,-0.08157877490183241
Optimized SIP,403,0.12208671235475767,0.06644642501063493,0.04976374371664262,0.2660730966732243,0.050313679333478106,0.0,0.23325062034739455,-0.04300489753990033,-0.08058439188838307
