,Return
2011 slowdown + euro crisis (Jan-Dec 2011),0.045257437789435695
"2013 taper tantrum, rupee crash (Jun-Aug 2013)",0.034117703543811384
2015-16 China/global sell-off (Mar 2015-Feb 2016),-0.023275746169317157
2018 IL&FS crisis (Sep-Oct 2018),-0.024121257770368554
