start,XIRR,Worst wealth drop
2010-02,0.10432021904308687,-0.009059318917652881
2010-03,0.09725412940841699,-0.00758389363905132
2010-04,0.08587545686200929,-0.00698320194466906
2010-05,0.08013673678463189,-0.006714533224727037
2010-06,0.08395896499383766,-0.006437986378011518
2010-07,0.07903656925113803,-0.006141377788030589
2010-08,0.07391490932581055,-0.005847344692800349
2010-09,0.06921642350375626,-0.005540513310721917
2010-10,0.06415502110385125,-0.00522593988347575
2010-11,0.06748587085529589,-0.004933863933809124
2010-12,0.058152129370135495,-0.0046299079290086365
2011-01,0.05647987667728531,-0.004306249492362801
2011-02,0.05652771350280824,-0.003983601278770066
2011-03,0.0565737511263063,-0.003602008348732477
2011-04,0.06589330577942912,-0.003190869813503805
2011-05,0.07198348722538045,-0.002796828089619119
2011-06,0.0707769575598511,-0.002382526448207689
2011-07,0.08185677133981403,-0.001932430828194387
2011-08,0.08828381809303155,-0.0014625883853907062
2011-09,0.08532642327645905,-0.0009596531119657747
2011-10,0.08051923403233228,-0.0003934498626402272
2011-11,0.07526726196733476,0.0
2011-12,0.060673267386790714,-0.016805857078869613
2012-01,0.05538964736683188,-0.016542671819475774
2012-02,0.06524613519961979,-0.01623930046702249
2012-03,0.07175283499243562,-0.015960517818075615
2012-04,0.07179139930074337,-0.015672907150287463
2012-05,0.0728955550706998,-0.015370299035455393
2012-06,0.07706198673024517,-0.015056702019648927
2012-07,0.07131589080918807,-0.014710430800817575
2012-08,0.08107963011492349,-0.014370743033155442
2012-09,0.08085273531218871,-0.014012816023420971
2012-10,0.07558466701481828,-0.013648044538470128
2012-11,0.08093670512906741,-0.0132912331970243
2012-12,0.07766425072515838,-0.012908840697680946
2013-01,0.0820961421090681,-0.012522828188195056
2013-02,0.09076019453962368,-0.012116057158219284
2013-03,0.08059223047026814,-0.011686267912047854
2013-04,0.07519840986206654,-0.011204522860436938
2013-05,0.08317970525447563,-0.010699280424679714
2013-06,0.0822277379456251,-0.010152513403377417
2013-07,0.07778926510916635,-0.009576265569242626
2013-08,0.08231670026165466,-0.008927165443402774
2013-09,0.08678748025022111,-0.008264257688434862
2013-10,0.07610272706678947,-0.007585327431617328
2013-11,0.07356158209777773,-0.006850105672165596
2013-12,0.06998875763129106,-0.006105503408254442
2014-01,0.07352792520368531,-0.005282126920117758
2014-02,0.07749584585558736,-0.004389747982658121
2014-03,0.07257375285441135,-0.0037020833702080536
2014-04,0.07854945740690078,-0.0032513398808438065
2014-05,0.07783230005929179,-0.0028250157870535197
2014-06,0.08076620420859827,-0.0023770528054969375
2014-07,0.08551511534040969,-0.0019592811448919667
2014-08,0.07725942912976524,-0.0015448362324180787
2014-09,0.08878298490702469,-0.0011213862208120373
2014-10,0.0873029316307423,-0.0006935287552879421
2014-11,0.09312891061975867,-0.0003548844457086364
2014-12,0.09128477894498382,-5.851629739161979e-05
2015-01,0.09471889839973718,0.0
