,Equity SIP,Equal-weight SIP,Optimized SIP,Optimized + Ridge,Optimized + Random forest,Optimized + Gradient boosting,Optimized + Oracle (perfect foresight)
1987 crash (Sep-Nov 1987),-0.250436651676344,-0.09564287724016585,-0.09230947398536171,-0.06268158160913051,-0.1261198172961926,-0.048525944104274465,-0.0471763397132835
Dot-com bust (Sep 2000-Sep 2002),-0.3986642176150935,-0.1652687860173353,0.020710217403283826,0.0017640801831699804,0.01785987130642086,-0.06033712985645601,0.11161080478654628
Global financial crisis (Nov 2007-Feb 2009),-0.45963119058648316,-0.1284126129322981,0.02522429656392644,-0.02474555635433362,-0.030665276120390605,-0.03863496266701305,0.07824625425592968
COVID crash (Feb-Mar 2020),-0.18818761085646762,-0.08972365440875496,-0.031559591028361145,-0.05133888889878002,-0.0386298957740262,-0.06806963113281828,-0.021961096378651845
2022 rate shock (Jan-Sep 2022),-0.16697216373726043,-0.1466503296920203,-0.1441249223675123,-0.14038080108280404,-0.13852569182051722,-0.14454340890452133,-0.12493547011892092
