refit,asset,Equity mom 3m,Equity mom 12m,Equity vol 12m,Bonds mom 3m,Bonds mom 12m,Bonds vol 12m,Gold mom 3m,Gold mom 12m,Gold vol 12m,Bond yield,Bond yield chg 12m,Dividend yield,USDINR chg 12m
1983-01,Equity,0.0019931946765393786,0.0002895539273035006,0.07117870348373549,0.0,0.0,0.0,0.0,0.014394991748237497,0.0,0.0003408264585716496,0.0,0.9118027297056125,0.0
1983-01,Bonds,0.000525094484542303,0.0042842456557558315,0.0007069330323589661,0.00022619235256166417,0.0002661881971599975,0.0,0.015194181106111045,0.7733818248698558,0.00020760505674264455,0.01760942897737745,0.0011610389995209117,0.010705383959302645,0.1757318833087107
1983-01,Gold,0.0009066501627219747,0.009466441141155402,0.0933749917188337,0.0,0.00042090982749234105,0.6452953092210162,0.0,0.0,0.23710499131295915,0.013430706615821231,0.0,0.0,0.0
1984-01,Equity,0.01775899002596429,0.0043924491956135025,0.11754068439717716,0.0,0.0,0.0,0.0,0.0027527588051187543,0.0,0.0020408457214709298,0.0,0.8555142718546555,0.0
1984-01,Bonds,0.0,0.0013677958107411344,0.004447022952342866,0.00023294347499872346,0.0,0.0,0.0069767647404351965,0.6937395535899289,0.000321095426850601,0.01624491686153269,0.0053199155194131745,0.010124335301724886,0.261225656322032
1984-01,Gold,0.003886317969286002,0.02987691728073353,0.13042642166813834,0.0,0.002810616828139718,0.5611821075229777,0.0,0.004619023839430616,0.2649396628976927,0.0,0.0,0.0022589319936014776,0.0
1985-01,Equity,0.01107183008198306,0.004719044338211777,0.1703284425568722,0.0010037834735492108,0.0014780429616368326,0.0003554595791249974,0.0,0.0008318527475427461,0.00031134676599022383,0.0,0.0,0.809476605326133,0.00042359216895595153
1985-01,Bonds,0.0,0.0025526166860238304,0.003978557929376181,0.00034881608179687597,0.0,0.0,0.0005441879853156268,0.7373018597668891,0.0,0.10625805245460615,0.0020539706989930995,0.0048135018282460945,0.14214843656875306
1985-01,Gold,0.0036348704783628304,0.08644301080473336,0.020680058307867205,0.0,0.0010310571880937517,0.6900308786447689,0.0015739414784847153,0.0020739617083234867,0.18508769699749336,0.0,0.0,0.009099773289716588,0.00034475110215599386
1986-01,Equity,0.010928611808154132,0.07759227780491193,0.04221937957084953,0.007179866051497491,0.00048390596880726257,0.003717030479181704,0.0,0.0015059334023879555,0.013554104606372207,0.0024955011462792992,0.0012776929369805643,0.7837046152021858,0.05534108102239211
1986-01,Bonds,9.595907100909039e-05,0.003637060603194958,0.0009345580745907271,0.0003573917523668252,0.0,0.0,0.0,0.34385799659279676,0.0001893972470888207,0.07391303361048548,0.00045667518925255577,0.002308008347579313,0.5742499195116354
