Date,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
1983,0.181579523848026,-0.0032538521594431824,0.0692313451707538,0.026907018314020537,-0.01411015087109202,0.006236375004366135
1984,0.046255465693351594,0.009940990930054516,0.02243120870306492,0.05840876861554123,0.06971548283569984,0.0679346709890094
1985,0.31289721892342715,0.21097969760038593,0.24281204224916642,0.23583638420631514,0.25761913865785324,0.2468341042090545
1986,0.24077266538076092,0.23619215952132877,0.2365809525267324,0.2412255840680404,0.24228278457608288,0.24230088571888397
1987,-0.0013401675878140784,0.049466352387813606,0.039741822341904376,0.02966083999929836,0.00929345409457305,0.01939516674636832
1988,0.18746179387491657,0.04694693163561259,0.10106364173586102,0.06940066903198994,0.09909270439442586,0.08413458864399326
1989,0.3015535164566139,0.17234817055827212,0.21299764835979063,0.17974213717083654,0.2101271167850447,0.19468557170795253
1990,-0.023823795385362723,-0.003952091234014743,-0.01602112472920636,0.006296041957012388,0.018512567809613856,0.012004401208356441
1991,0.2205885384281936,0.13712022526934864,0.15586296022095136,0.12674474720384787,0.14748928145113527,0.13406423614124607
1992,0.15495295387937058,0.08574731325063123,0.09718434649807706,0.06677391339708971,0.09059433387414728,0.07800873096106664
1993,0.09951747943340972,0.12322386297447263,0.11640467866606685,0.1313444185627075,0.13253924695126074,0.13209458552825715
1994,0.004421420032352241,-0.0284412894260323,-0.014233964207724603,-0.033829900985474115,-0.046862375767833364,-0.04094736195584692
1995,0.38402514717398506,0.25753626469576263,0.2826467948623381,0.203626548131274,0.22461476620253085,0.2210873673681899
1996,0.2354274641475136,0.10938972042683148,0.13573833840776506,0.05440703883373943,0.06327399138500778,0.06064103149534872
1997,0.31761540366298635,0.16489756606277095,0.16776312232418245,0.03826634541446916,0.10935988663938212,0.07905290424670142
1998,0.25483917512234644,0.1957677283634902,0.18511583950910326,0.1344151830285738,0.18135708196731248,0.15242586711142336
1999,0.21552803227088324,0.10658519052746573,0.10973641273110868,0.018385934411934812,0.03312386482437768,0.024152471496739603
2000,-0.05753217199178118,-0.0035622405512253374,-0.013660463499352793,0.03017508277933323,0.04557304579346799,0.038720055871174885
2001,-0.1281866221875323,-0.0582920162795012,-0.06070197273613753,0.007365232656462828,-0.010821554943874379,-0.006510108734718356
2002,-0.20189279156761686,-0.04630002427702362,-0.05302378564805754,0.05742401497637917,0.034787502484638244,0.05124449935903663
2003,0.22248104636070742,0.14243125331764594,0.18233914371777948,0.13171868135661313,0.08605356847247414,0.1077899771975186
2004,0.12797642340710946,0.09287153045130037,0.10313596917272427,0.07978857810633144,0.07158424589838464,0.07539198288280202
2005,0.0706384581206847,0.06745200488415404,0.07779949338225856,0.07363968173761726,0.04995450412570879,0.0617819149135288
2006,0.1424620857374237,0.1249125076158093,0.14075070064683137,0.12192395834039838,0.09233930052817563,0.10308301644900264
2007,0.06295563775565127,0.10914471276275362,0.10987057892689123,0.12620134331517963,0.10675331531881205,0.11799357824642143
2008,-0.3923502363447354,-0.13248429080542423,-0.19372952960155454,-0.017104287800657758,0.023605365893516916,0.004666744751354424
2009,0.30097086875125356,0.17480008588334095,0.24509514526634435,0.12950217901506855,0.06306447486079159,0.09107850780565041
2010,0.14012510981533755,0.13908521096513637,0.14062897126291762,0.11916038938814433,0.11777425641886952,0.11483713507946947
2011,0.0207876643664211,0.11063689715554292,0.07854841996915618,0.13353631378635455,0.14963071507944803,0.13409391439863394
2012,0.16764410268135466,0.08097660389500771,0.11442797701488638,0.07182847422274241,0.05486130127453803,0.06004109452628281
2013,0.29689221340110006,-0.0007218772439241405,0.10728160593631841,-0.021226122608199338,-0.05566338726463338,-0.042903760501642574
2014,0.15840493913942755,0.0979253262643709,0.10927129912122124,0.08945181378737677,0.08836553339245645,0.08546734731251071
2015,0.02021197724355739,-0.006660405724058904,-0.005084406661286733,-0.0029648672680893107,-0.0028918390354044643,-0.005202422126959538
2016,0.11720705377206886,0.07466202261277521,0.08443401841578635,0.04758698788296156,0.037104171307969835,0.04587022614633374
2017,0.20898376180998812,0.140046708318875,0.15014260470771923,0.09373780318025937,0.09184391832622318,0.0947293996481251
2018,-0.018356149007171974,-0.014689494982207507,-0.015068962785256823,-0.006082629144232077,-0.012181816125310552,-0.00513876724643092
2019,0.2613626781094782,0.21117642508360324,0.21599676545406998,0.16741578120770773,0.182606786114335,0.177415273853349
2020,0.1849778452798354,0.178958699598329,0.18199929644735668,0.17274790186934874,0.1536334846716152,0.15539962305041843
2021,0.2825558847430327,0.1544308934934573,0.15492291080201692,0.060235271501112075,0.07753929177092567,0.06985942515529109
2022,-0.14996547146357264,-0.12451818242193335,-0.1190508952671373,-0.12502872956332478,-0.13511476104951925,-0.1297795485910488
2023,0.21689880830662256,0.16431305746174152,0.15653068185550678,0.08926224958695261,0.15339403088748327,0.12142181412933772
2024,0.30301037956370713,0.2611932224693707,0.2453992217708474,0.16132061674779763,0.24214088126997035,0.20222694258263862
2025,0.15806991625245326,0.23633314008106843,0.23315161676704066,0.22040487268252384,0.2980201443603503,0.2437785097696159
2026,0.10167033225773481,0.05093481937669764,0.04758858464072002,0.0184747854401055,0.016254862104204015,0.016661907326464442
