,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
1987 crash (Sep-Nov 1987),-0.250436651676344,-0.09564287724016585,-0.15808618189799106,-0.08291440263949523,-0.10314444529113176,-0.09230947398536171
Dot-com bust (Sep 2000-Sep 2002),-0.3986642176150935,-0.1652687860173353,-0.17922767892974534,0.039491067574473515,0.00018529727221783254,0.020710217403283826
Global financial crisis (Nov 2007-Feb 2009),-0.45963119058648316,-0.1284126129322981,-0.21177623040718163,0.002510064330787598,0.052666078029456775,0.02522429656392644
COVID crash (Feb-Mar 2020),-0.18818761085646762,-0.08972365440875496,-0.09168724278422313,-0.01789026368017632,-0.04534642052038129,-0.031559591028361145
2022 rate shock (Jan-Sep 2022),-0.16697216373726043,-0.1466503296920203,-0.14245659857613913,-0.14090793230000354,-0.14926500919844776,-0.1441249223675123
