Strategy,Invested,Final value,Wealth multiple,XIRR,TWR CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar,Worst wealth drop,Annual sell turnover,Annual cost drag
Equity SIP,5220000.0,119106078.46847798,22.81725641158582,0.11344732437384354,0.11981320528939765,0.12255352691018229,0.9902931603047411,1.4890156014009595,-0.49036491572347607,0.24433478303117848,-0.4832259955076602,0.0,5.816398477584494e-06
Equal-weight SIP,5220000.0,58470676.78315173,11.201279077232133,0.09029587093624633,0.08977514051119373,0.06884244629243329,1.2877957306162404,2.1839828374025307,-0.18744726411776413,0.4789354538393919,-0.18248371512895256,0.0,9.917660390941328e-06
60/20/20 annual rebal,5220000.0,73278511.80530044,14.03802908147518,0.0977121130826367,0.0998991265238598,0.07615848296394095,1.2934896222511492,2.1541259699066027,-0.24152957226050242,0.4136103318069611,-0.23415673743087995,0.03786128034804544,8.382948632421431e-05
Risk-parity SIP,5220000.0,39079131.501000114,7.486423659195424,0.07683714101113565,0.08043338905505881,0.055006390417483446,1.4383019026798634,2.760139903476268,-0.16598177796149038,0.48459168255035956,-0.1627607745369274,0.05262880107359594,0.00011685538133397177
Max-Sharpe SIP,5220000.0,44802370.38889849,8.582829576417335,0.08143835638804847,0.08477983881016549,0.06085851900846071,1.3719328348052706,2.5682025384104414,-0.1750670069119452,0.4842707961118445,-0.17173820863560751,0.08769187032412935,0.0001867134639747234
Optimized SIP,5220000.0,40653137.34960211,7.787957346667071,0.07817071541900376,0.08195749172320088,0.056730375121948104,1.4212973528989243,2.681694454286076,-0.16971584060172606,0.4829100891974567,-0.16637922204997257,0.04720522046540557,0.00010604264929797147
