start,Strategy,XIRR,Worst wealth drop
1983-02,Equity SIP,0.14757669484888286,-0.22843824133908885
1983-02,Equal-weight SIP,0.09607627154442998,-0.06191342862615845
1983-02,60/20/20 annual rebal,0.11013817064539488,-0.1290795432197419
1983-02,Risk-parity SIP,0.09877487478534375,-0.049080575288961814
1983-02,Max-Sharpe SIP,0.11542407267324585,-0.07056882632091865
1983-02,Optimized SIP,0.10663423262377945,-0.059104253647842
1983-03,Equity SIP,0.14837870538919656,-0.2275832272551358
1983-03,Equal-weight SIP,0.09802071199764943,-0.060668696984524706
1983-03,60/20/20 annual rebal,0.11143011590388485,-0.12621721600551694
1983-03,Risk-parity SIP,0.10070744151502663,-0.048138441763983075
1983-03,Max-Sharpe SIP,0.11839738968352163,-0.0696959254468168
1983-03,Optimized SIP,0.10907619426915507,-0.058201762058722295
1983-04,Equity SIP,0.14998205808827988,-0.2267005565482192
1983-04,Equal-weight SIP,0.10009202235158327,-0.05941059328958398
1983-04,60/20/20 annual rebal,0.11267900210717356,-0.12126636678789715
1983-04,Risk-parity SIP,0.10262206628983164,-0.04716180065306963
1983-04,Max-Sharpe SIP,0.12101410251701912,-0.0687879359789827
1983-04,Optimized SIP,0.11133146902266866,-0.057270272671453015
1983-05,Equity SIP,0.14517107959507652,-0.225804706696202
1983-05,Equal-weight SIP,0.09896577652246881,-0.058214028758837744
1983-05,60/20/20 annual rebal,0.11081121573257492,-0.11881165560276918
1983-05,Risk-parity SIP,0.10262127590868544,-0.04614096904745868
1983-05,Max-Sharpe SIP,0.12013349913537476,-0.0678273264831658
1983-05,Optimized SIP,0.11088203784960342,-0.05629055972328101
1983-06,Equity SIP,0.14432976179633897,-0.22500354232550157
1983-06,Equal-weight SIP,0.10046035045505478,-0.057029807470132754
1983-06,60/20/20 annual rebal,0.11283191552271181,-0.11944207061286627
1983-06,Risk-parity SIP,0.10514480496452518,-0.045101544914715186
1983-06,Max-Sharpe SIP,0.12005740442082195,-0.0668454111447111
1983-06,Optimized SIP,0.11211121816799717,-0.05529046248697156
1983-07,Equity SIP,0.14384294025605746,-0.2243504625342495
1983-07,Equal-weight SIP,0.1008970165514739,-0.05587192535998298
1983-07,60/20/20 annual rebal,0.1134877799605274,-0.11911436727069424
1983-07,Risk-parity SIP,0.10568735342278551,-0.04403711497482066
1983-07,Max-Sharpe SIP,0.12042715498701023,-0.06574639359315149
1983-07,Optimized SIP,0.1125559118555176,-0.05426392447772943
1983-08,Equity SIP,0.1418812181229386,-0.22367508279834403
1983-08,Equal-weight SIP,0.10252885412743207,-0.05472747181163429
1983-08,60/20/20 annual rebal,0.11436529212387167,-0.1155779963250968
1983-08,Risk-parity SIP,0.10840735689252369,-0.04290660523538892
1983-08,Max-Sharpe SIP,0.12177414244480474,-0.0645303640314514
