Strategy,Invested,Final value,Wealth multiple,XIRR,TWR CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar,Worst wealth drop,Annual sell turnover,Annual cost drag
Equity SIP,5220000.0,119106073.96488647,22.817255548828825,0.11344732315864509,0.1198132041358515,0.12255352674399453,0.9902931529732819,1.489015594772641,-0.49036491039263164,0.24433478333496159,-0.48322598985288334,0.0,5.816398550844661e-06
Equal-weight SIP,5220000.0,58470675.7678168,11.201278882723525,0.09029587036270743,0.08977514011058374,0.06884244553153124,1.2877957386961871,2.1839828639040113,-0.18744725698159015,0.47893546993542224,-0.18248370793263535,0.0,9.917660389949973e-06
60/20/20 annual rebal,5220000.0,73278510.50840273,14.038028833027344,0.09771211250413174,0.09989912601880313,0.07615848270521211,1.2934896203084323,2.1541259691813135,-0.24152956733659203,0.41361033814789716,-0.23415673234791345,0.03786128015605243,8.382948596326336e-05
Risk-parity SIP,5220000.0,39079131.25130443,7.486423611361002,0.07683714079506318,0.08043338904272446,0.05500639059712199,1.4383018979554616,2.760139891219485,-0.1659817791091498,0.4845916791254019,-0.16276077568708702,0.052628801221177,0.00011685538160438997
Max-Sharpe SIP,5220000.0,44802372.01781066,8.582829888469474,0.08143835760677942,0.08477983985143323,0.06085851945127175,1.37193284115655,2.5682025386656826,-0.1750670090419839,0.48427079616755003,-0.17173821078869567,0.08769187140305566,0.00018671346600361848
Optimized SIP,5220000.0,40653139.026181206,7.787957667850805,0.07817071680997836,0.08195749284258391,0.05673037558814507,1.4212973600387566,2.681694474511885,-0.1697158421256536,0.4829100914568984,-0.16637922358797808,0.04720522303400683,0.00010604265433664651
