Month,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
1983,0.18157952206121886,-0.0032538513146068704,0.06923134511243734,0.026907022030342453,-0.014110145480524805,0.00623637957720069
1984,0.046255469126542215,0.009940989431005853,0.022431209113777717,0.05840876445065435,0.06971547605435569,0.06793466489159328
1985,0.31289723764389454,0.21097970438217795,0.24281205358939228,0.23583639012286128,0.25761914678885756,0.24683411115420273
1986,0.2407726583329859,0.23619215934627413,0.23658094996087997,0.241225583519723,0.24228278318805851,0.2423008845580028
1987,-0.001340174887225154,0.04946635552028433,0.039741820997476696,0.029660844885839754,0.009293458165911872,0.019395170900792458
1988,0.18746180167048454,0.04694693652758186,0.10106364794430434,0.06940067451307952,0.09909271179674883,0.08413459446639204
1989,0.3015535014303168,0.1723481649419809,0.21299763876846312,0.1797421343355179,0.2101271146217114,0.1946855692520162
1990,-0.023823801005589784,-0.0039520906162938685,-0.016021127258885937,0.006296043103496407,0.018512570504162662,0.012004403078681447
1991,0.22058852404442253,0.13712022996846396,0.15586295830967622,0.12674475459380918,0.14748928823081653,0.1340642432791579
1992,0.1549529294340537,0.08574730183142787,0.09718433164260842,0.06677390616545087,0.09059432568468573,0.07800872236956469
1993,0.09951748206864819,0.12322385229495247,0.11640467306257585,0.1313444042778369,0.13253922826267872,0.13209456915457163
1994,0.004421424934110796,-0.02844128706142235,-0.01423396111397679,-0.03382989859012642,-0.046862373883925446,-0.04094735986778553
1995,0.384025128456986,0.25753625631436416,0.2826467846250169,0.20362654511460665,0.22461476153098237,0.22108736273440321
1996,0.2354274853945615,0.10938971986948665,0.13573834560839715,0.054407034433475276,0.0632739833230398,0.06064102366885282
1997,0.3176154311554782,0.1648975754796762,0.16776313647353924,0.038266347809749135,0.10935988876494651,0.07905290626334982
1998,0.2548391540060684,0.19576771205383836,0.18511582403792026,0.1344151724095759,0.18135706519264305,0.15242585449662927
1999,0.21552802987237518,0.10658519275211509,0.10973641403415613,0.01838594046651143,0.03312387179816034,0.02415247811744714
2000,-0.05753218700655638,-0.0035622415612276415,-0.013660465127228627,0.030175092798502945,0.04557305548286883,0.03872006567878605
2001,-0.12818661413450205,-0.05829201166602349,-0.06070196815262208,0.007365233851180486,-0.010821554821492163,-0.006510108211149723
2002,-0.20189277003176942,-0.046300009799523645,-0.053023774015483416,0.05742401793778673,0.03478750573255196,0.05124450285257853
2003,0.22248104389635626,0.1424312536928145,0.18233914222022207,0.13171868215929394,0.08605357553584358,0.10778998125495654
2004,0.12797640418569656,0.09287152291384015,0.1031359591492178,0.07978857617106572,0.07158424613363912,0.07539198214774889
2005,0.07063844746617787,0.0674520029484742,0.07779948842633799,0.07363968262880016,0.04995451007981089,0.06178191843276282
2006,0.14246208016582362,0.12491250058832559,0.14075069391751782,0.1219239530269014,0.09233929748082392,0.10308301203768377
2007,0.06295563820891847,0.10914471667018288,0.10987058255992,0.12620134794571847,0.10675331911850172,0.11799358251904213
2008,-0.39235023484934506,-0.13248427989236566,-0.19372952724954862,-0.017104286424935777,0.02360537332914303,0.00466674881045992
2009,0.3009708788518197,0.17480007645088347,0.24509514814838185,0.12950217524063556,0.06306446088433737,0.0910785001904173
2010,0.14012512192971704,0.13908521473944768,0.14062897883513092,0.11916039382922872,0.11777425733206681,0.11483713720476407
2011,0.02078766563279455,0.11063689848889635,0.0785484210294991,0.13353631444777725,0.14963071550812002,0.13409391550517813
2012,0.16764410918648753,0.08097660941009699,0.11442798323117898,0.07182848143836673,0.05486130895163832,0.060041101643315775
2013,0.29689220270916694,-0.0007218785450413545,0.10728160137500709,-0.021226122976324313,-0.05566338355721667,-0.04290375844309202
2014,0.15840494091427382,0.09792532941741627,0.10927130294327192,0.0894518140095153,0.08836553354363819,0.0854673487688693
2015,0.020211979632545507,-0.006660406118004114,-0.005084405749181453,-0.0029648704954882144,-0.002891841867324385,-0.005202424738710354
2016,0.1172070638136864,0.07466202549563494,0.08443402348593931,0.047586988627164706,0.03710417201647487,0.045870225376564155
2017,0.2089837516464219,0.14004670586202939,0.1501426016459222,0.09373780814189803,0.09184392603569091,0.09472940590219214
2018,-0.018356139279182004,-0.014689494039938467,-0.015068960999353731,-0.006082636516060447,-0.012181823608448439,-0.005138774053608297
2019,0.2613626748466964,0.21117642691910699,0.21599676741298546,0.16741578735881046,0.1826067916877192,0.17741527943197188
2020,0.18497783955114233,0.17895869270823894,0.1819992893076703,0.172747891852278,0.15363347587438825,0.15539961382218248
2021,0.2825559016986241,0.15443089748034433,0.15492291687917548,0.06023526952244285,0.07753929347797639,0.06985942526278555
2022,-0.14996547869423604,-0.1245181871622274,-0.11905090027744547,-0.12502873344817977,-0.1351147662519464,-0.12977955290356136
2023,0.21689879051626848,0.16431304572990268,0.15653067063135717,0.08926224379391301,0.15339403398737805,0.12142181266935159
2024,0.3030103880619919,0.26119323113862425,0.2453992293143903,0.1613206213046543,0.24214093194637032,0.20222697040106197
2025,0.15806989905787217,0.23633313231558617,0.23315160714201877,0.22040487414340637,0.29802014194553994,0.24377853448346842
2026,0.10167031888448808,0.050934809772667844,0.047588577423483436,0.018474783607911327,0.016254856903144432,0.01666190872353912
