Equity,Bonds,Gold,XIRR,Volatility,Sharpe,Max drawdown,Worst wealth drop
0.0,0.0,1.0,0.0772190615800906,0.12630321699578892,0.45077173236138535,-0.4812758935931961,-0.3666069875915733
0.0,0.1,0.9,0.074925045425001,0.11464767452406467,0.5057295127605401,-0.3677524308211202,-0.3277590807922417
0.0,0.2,0.8,0.07252688648265407,0.10340952793393181,0.5695657455560239,-0.3157770921291805,-0.2908168677333234
0.0,0.3,0.7,0.07000929213155557,0.09273493221546307,0.6436453602043823,-0.27550436911109455,-0.2525463595490086
0.0,0.4,0.6,0.06735470653048499,0.0828436929384248,0.728492551424217,-0.23659439283164696,-0.2128766982953847
0.0,0.5,0.5,0.06454319810322827,0.07406156208288942,0.8221075055027708,-0.19632195622855053,-0.18074689733066107
0.0,0.6,0.4,0.06155228783907434,0.06685046561442003,0.9168948940885135,-0.19900833809102714,-0.18718453018999048
0.0,0.7,0.3,0.05835668767945661,0.061800835039347045,0.9963485715313529,-0.2062662621179584,-0.19453064661050123
0.0,0.8,0.2,0.05492791009451471,0.05951922390441926,1.0370821564592234,-0.2134948147852722,-0.20181421409616151
0.0,0.9,0.1,0.051233698143747085,0.06038867474069663,1.0224851829650645,-0.22821964453729982,-0.21065203553549972
0.0,1.0,0.0,0.04723720681217224,0.06436181046508771,0.9576076070827811,-0.25086793230263216,-0.23310669517053983
0.1,0.0,0.9,0.08185309037254584,0.11297040636495853,0.5686584947726857,-0.33733674447782036,-0.2909842271041808
0.1,0.1,0.8,0.07962153005549304,0.10145421185240626,0.6424201951367337,-0.28673820379456005,-0.25309252342044086
0.1,0.2,0.7,0.0772752490967918,0.09042628909076722,0.7297125511246045,-0.23636591012841146,-0.21382928328977446
0.1,0.3,0.6,0.07479792533173327,0.08009042744559532,0.8324301329625768,-0.1963375016896709,-0.17315467542742857
0.1,0.4,0.5,0.07217134440159542,0.0707623153912623,0.9500907464898385,-0.1571816403925398,-0.14647896523818804
0.1,0.5,0.4,0.0693743125066659,0.06291601767304326,1.075528605647375,-0.164666519182315,-0.15410180962644093
0.1,0.6,0.3,0.06638349322780507,0.05720443570659894,1.188394425454537,-0.17212076562117562,-0.16166765004959782
0.1,0.7,0.2,0.06317251743378303,0.05436180402205476,1.2540014555132448,-0.17954284053189007,-0.16917135932027216
0.1,0.8,0.1,0.0597110924044893,0.054908218440274006,1.2426367489719516,-0.18693115908688518,-0.17660728746527898
0.1,0.9,0.0,0.0559635680873532,0.0588334372590163,1.1585250279169752,-0.20117505289376203,-0.18563098053707006
0.2,0.0,0.8,0.0863246398189617,0.10138062266919676,0.7033800836443819,-0.27969274098323627,-0.22264092125737744
0.2,0.1,0.7,0.08414172859712794,0.09021343959783276,0.7996715977927108,-0.22708380531114336,-0.20056817884284361
0.2,0.2,0.6,0.08183271002906142,0.0796852063846959,0.9142434176843574,-0.1855507694140659,-0.17792986499581986
0.2,0.3,0.5,0.07937968897710038,0.07009591977620191,1.0477291289255544,-0.16228987979539777,-0.15470016946177267
0.2,0.4,0.4,0.07676323163020755,0.06190738136806761,1.1939010412655078,-0.1406037371131721,-0.13767209020015847
0.2,0.5,0.3,0.07396029956955619,0.055779722928231,1.331308594637787,-0.14934622253832652,-0.14574244408253956
0.2,0.6,0.2,0.07094725335563964,0.052497113230292526,1.418886918488249,-0.16022555181125775,-0.15665408314352236
