,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
1987 crash (Sep-Nov 1987),-0.25043665507262436,-0.09564287798721216,-0.15808618352817483,-0.08291440366563019,-0.10314445232273473,-0.09230947599792538
Dot-com bust (Sep 2000-Sep 2002),-0.3986642022684018,-0.16526877157615438,-0.17922766814594926,0.039491072404462146,0.00018530054482024383,0.020710221740767754
Global financial crisis (Nov 2007-Feb 2009),-0.459631187454171,-0.1284125980604861,-0.211776224641254,0.002510068056637227,0.05266608531741079,0.02522430210654414
COVID crash (Feb-Mar 2020),-0.18818761014029606,-0.08972365362591372,-0.09168724337497469,-0.01789026624028156,-0.045346424458073575,-0.0315595944353928
2022 rate shock (Jan-Sep 2022),-0.16697216666109616,-0.14665033077579614,-0.14245659971939906,-0.14090793385471811,-0.14926501201950138,-0.14412492439193214
