Look-back (months),Execution,XIRR,Volatility,Sharpe,Worst wealth drop,Annual sell turnover
60,band 3%,0.07959926954252283,0.057985734503982235,1.345872995720712,-0.1624560005283342,0.10997737732040544
60,band 5%,0.07972938704396446,0.05824412046671575,1.3408078566935153,-0.1634963557486513,0.07657271871689447
60,band 10%,0.08017522248346033,0.058937330095167474,1.3315438611351884,-0.16524672946611252,0.05970588316581706
60,pro-rata + annual rebal,0.08073520059655753,0.058217284912623964,1.3559321510740616,-0.16394010214012178,0.08208006006886971
60,"smart, never rebalance",0.07962819485984815,0.05904029166481942,1.313433375759395,-0.15770265420931295,0.0
120,band 3%,0.07569480054110371,0.0547303052997844,1.3895705008312014,-0.16492931797646293,0.07485845441282836
120,band 5%,0.07527146630624054,0.05463094412247894,1.3865254134580873,-0.1643174135808989,0.04226969284002936
120,band 10%,0.07599024701232739,0.05492863402335326,1.3959184109025287,-0.1661412384154899,0.02282265150266501
120,pro-rata + annual rebal,0.07470582307553557,0.05467616713320402,1.3850821262765156,-0.1643447960300345,0.04626628927991254
120,"smart, never rebalance",0.07727343801312858,0.057389610524785695,1.3545633388928628,-0.1564465848786577,0.0
180,band 3%,0.07226094247788922,0.05296192403062219,1.4008657650290472,-0.16302071748693547,0.04885600141969495
180,band 5%,0.07313898086721565,0.05286142306231204,1.418001744456807,-0.16251470846220561,0.034643378834953775
180,band 10%,0.07478154848207481,0.05434124152792449,1.4098196143590325,-0.16449208942184834,0.011038866188967081
180,pro-rata + annual rebal,0.07396371157091483,0.05320358225449825,1.4261767707448647,-0.16254812984919598,0.043173930297869374
180,"smart, never rebalance",0.07924686985986246,0.05787664793792383,1.3815730733067715,-0.15723951283877002,0.0
