,Return
1987 crash (Sep-Nov 1987),-0.16546626001039766
Dot-com bust (Sep 2000-Sep 2002),-0.1308598147464518
Global financial crisis (Nov 2007-Feb 2009),-0.013803040404078648
COVID crash (Feb-Mar 2020),-0.05002705195986801
2022 rate shock (Jan-Sep 2022),-0.0871897184711724
