Look-back (months),Execution,XIRR,Volatility,Sharpe,Sharpe vs Liquid,Worst wealth drop,Annual sell turnover
60,band 3%,0.07958825515742823,0.03132754755714886,2.606716679611771,0.29066857228606197,-0.0021517868298407405,0.002345499341981346
60,band 5%,0.0791110990605266,0.03134077952232115,2.5904166095658363,0.2753463294786509,-0.0021184642703940826,0.0
60,band 10%,0.0791110990605266,0.03134077952232115,2.5904166095658363,0.2753463294786509,-0.0021184642703940826,0.0
60,pro-rata + annual rebal,0.07809945964319247,0.031315057612427914,2.5727067736528215,0.2557349154214119,-0.0026550698019540686,0.015483142172599574
60,"smart, never rebalance",0.0791110990605266,0.03134077952232115,2.5904166095658363,0.2753463294786509,-0.0021184642703940826,0.0
90,band 3%,0.07876804853689703,0.031330551087354934,2.5844129106593514,0.2685868332759082,-0.0018974674660715563,0.006468931585383465
90,band 5%,0.07790536009995443,0.031591677082989454,2.538537158868234,0.2418529076241424,-0.002542165664144891,0.0
90,band 10%,0.07790536009995443,0.031591677082989454,2.538537158868234,0.2418529076241424,-0.002542165664144891,0.0
90,pro-rata + annual rebal,0.07772620974302696,0.03148693956372041,2.5472807104218784,0.24295681511098935,-0.0029974160562579177,0.015707960958533187
90,"smart, never rebalance",0.07790536009995443,0.031591677082989454,2.538537158868234,0.2418529076241424,-0.002542165664144891,0.0
120,band 3%,0.078476601580126,0.03165979986468006,2.5481992156313615,0.2564567682056285,-0.002207371206176423,0.006600516833838567
120,band 5%,0.07816710332776938,0.03169330232230741,2.5402831979383667,0.2509633129662674,-0.002207371206176423,0.0
120,band 10%,0.07816710332776938,0.03169330232230741,2.5402831979383667,0.2509633129662674,-0.002207371206176423,0.0
120,pro-rata + annual rebal,0.07770918871201303,0.03175767711919305,2.5297127593482864,0.24503346890229857,-0.0030780610472759262,0.01521368974668979
120,"smart, never rebalance",0.07816710332776938,0.03169330232230741,2.5402831979383667,0.2509633129662674,-0.002207371206176423,0.0
