Strategy,Invested,Final value,Wealth multiple,XIRR,TWR CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar,Worst wealth drop,Annual sell turnover,Annual cost drag,Sharpe vs Liquid
Equity SIP,1190000.0,2176118.870631888,1.8286713198587294,0.11713088675299681,0.11015777984922637,0.15325634115514628,0.76008973012021,1.31810265121415,-0.23660756024896668,0.4655716822121598,-0.11209796514939019,0.0,0.00013374829418131385,0.28666000656025714
Equal-weight SIP,1190000.0,1850460.429207034,1.5550087640395243,0.0862378299105238,0.0922652545181013,0.0648584541032859,1.397755238656483,2.6759308988176986,-0.06533528233494146,1.4121811557360888,-0.021183400706847877,0.0,0.00015173272485511605,0.2790713565006352
60/20/20 annual rebal,1190000.0,1990519.5289453864,1.672705486508728,0.10018023992949723,0.1023565407210163,0.0881434088911271,1.1533539416135414,2.24708331478213,-0.08947108404249882,1.1440181128508164,-0.040210660662407305,0.02372528208160224,0.00019063061061546562,0.330194182538299
Risk-parity SIP,1190000.0,1778154.399907012,1.494247394879842,0.07859145579445895,0.08334863244946678,0.0312025603608344,2.5896579950879066,7.316661099952348,-0.017045639994481387,4.8897332383208445,-0.0022142170995004262,0.0,0.00015256064420294773,0.2643325606417155
Max-Sharpe SIP,1190000.0,1770115.8748866445,1.4874923318375164,0.07772082965195012,0.08266412392650935,0.03223966893509563,2.487617131038997,6.916161943007469,-0.017537014939695172,4.713694104200051,-0.0021997690206245757,0.0,0.000153246244249474,0.23709441714390359
Optimized SIP,1190000.0,1774231.4460045497,1.4909507949618066,0.07816710332776938,0.08301601268154024,0.03169330232230741,2.5402831979383667,7.121965265743757,-0.017291638821813504,4.8009337655616,-0.002207371206176423,0.0,0.00015289943610740717,0.2509633129662674
