Nifty,Gold,Liquid,XIRR,Volatility,Sharpe,Sharpe vs Liquid,Max drawdown,Worst wealth drop
0.0,0.0,1.0,0.07279226609121561,0.003980847881809227,18.09825975631097,-0.12803508867447908,0.0,0.0
0.0,0.1,0.9,0.0723789049745476,0.017128995910189224,4.300098821648075,0.06423423230979461,-0.004817491376837291,0.0
0.0,0.2,0.8,0.07186532248943509,0.03368609229405399,2.2370095586004948,0.08312045227343642,-0.016251570035262675,-0.0026196945927547954
0.0,0.3,0.7,0.07125171309594285,0.050298196416285114,1.5336283701183666,0.09110930588808007,-0.03520166093112853,-0.01008482390728549
0.0,0.4,0.6,0.07053823326939883,0.06686931329284045,1.1813829322319576,0.09633952960052694,-0.06018638768008311,-0.017491029460821705
0.0,0.5,0.5,0.06972500694824373,0.08339494906787899,0.9704364466842877,0.10040645040916557,-0.08652570344544985,-0.024838854746200956
0.0,0.6,0.4,0.06881213109913273,0.09988605009819576,0.8302262098456421,0.10383741826200794,-0.11354143440716824,-0.03453388833190685
0.0,0.7,0.3,0.0677996814526851,0.11635810141502566,0.730418630228038,0.1068599235755643,-0.14161896585873823,-0.05107030076274677
0.0,0.8,0.2,0.0666877184654072,0.13282853889882024,0.6558291445439819,0.1095903028884316,-0.16943233264558089,-0.07503376443498744
0.0,0.9,0.1,0.06547629356597524,0.14931602408294128,0.5980189796669998,0.11209586677599706,-0.21082756269283776,-0.09914469098906498
0.0,1.0,0.0,0.06416545574727464,0.1658402894104014,0.5519254623002523,0.11441954932311242,-0.2553994827099241,-0.12340907636727694
0.1,0.0,0.9,0.07799016081569414,0.015557112852515705,4.919908082774995,0.2560538114371182,-0.004743648912456044,0.0
0.1,0.1,0.8,0.07755014452084176,0.019686313363572933,3.967935186539858,0.2823234680376632,-0.009133161304407222,0.0
0.1,0.2,0.7,0.07700686330257021,0.03318262972876893,2.4041872960519552,0.21761836465754258,-0.020511721863467502,-0.0033194551591593235
0.1,0.3,0.6,0.07636089887069719,0.048704074739054304,1.6738374668556695,0.18410364857392642,-0.03955750757511878,-0.009255925921145991
0.1,0.4,0.5,0.07561309069294213,0.0647515343418347,1.287158275282542,0.16662718726454456,-0.06459856037914558,-0.016331671581483076
0.1,0.5,0.4,0.07476415324862323,0.0809810118783786,1.0526022610780814,0.15663781776068741,-0.09089657967395204,-0.028312245426988958
0.1,0.6,0.3,0.07381409069042856,0.09728785554767998,0.8963512169769245,0.15056329906633165,-0.1170717222730645,-0.04017718053574204
0.1,0.7,0.2,0.07276288414393017,0.113638367090399,0.7852234977514632,0.14674101085359534,-0.14389746215855348,-0.05392001427807935
0.1,0.8,0.1,0.07161015047702193,0.13002563642644166,0.7023206193994959,0.14430675981775615,-0.17170904096652273,-0.06848642501560565
0.1,0.9,0.0,0.07035617968997047,0.14645524190555667,0.6381912880847287,0.1427764003494068,-0.19926368977674624,-0.08887997968499572
0.2,0.0,0.8,0.08301635973846426,0.030524646236782187,2.654225253733244,0.2772572566574687,-0.01663196496801911,-0.002335451040393788
0.2,0.1,0.7,0.08254768653435027,0.03066604280037809,2.6920052962794356,0.3259971452050433,-0.0198898859340082,-0.002463114379706033
0.2,0.2,0.6,0.08197557299642454,0.03900963864016438,2.157898515226919,0.29794518686701743,-0.02590319389376461,-0.008476141733380183
0.2,0.3,0.5,0.08129992632932558,0.05162064012315898,1.6638462945841175,0.25828241444270605,-0.04391113875867714,-0.01433189838823934
0.2,0.4,0.4,0.08052057538944887,0.06603659869121546,1.3276832278386688,0.22895754140287483,-0.06900705357926662,-0.022255909937068163
0.2,0.5,0.3,0.07963841689646552,0.08126910031269803,1.1017197225876572,0.20893135717303338,-0.09526516965695908,-0.0343899609031737
0.2,0.6,0.2,0.07865305233605933,0.09691830176887628,0.9437226626622877,0.1950910223770782,-0.12140195486358851,-0.04612572760265621
0.2,0.7,0.1,0.07756443284569958,0.1128092122647432,0.8284474950308439,0.18527212158160414,-0.1474184412823739,-0.06086763705834908
0.2,0.8,0.0,0.07637285077107228,0.12886131062500888,0.7411874657720847,0.17813167443350628,-0.17405693624998864,-0.07524789744489369
0.3,0.0,0.7,0.08787178717235106,0.04567045379773336,1.8718117644355128,0.28312364786392435,-0.030676165657375964,-0.013721156777028565
0.3,0.1,0.6,0.08737610813069392,0.04418683374042844,1.968447325525786,0.32641731149230585,-0.031806703512973766,-0.00892063753923722
0.3,0.2,0.5,0.08677602221600575,0.04895851776076536,1.809003170882976,0.3270116698037469,-0.03501929761062883,-0.013587877041408736
0.3,0.3,0.4,0.08607141117853599,0.058373610243109386,1.545881419958116,0.3029206552441409,-0.05028396106949218,-0.019363682581116315
0.3,0.4,0.3,0.08526220255821208,0.07053566060939515,1.3041690904494423,0.2755247621757733,-0.07340819446979663,-0.028398501233700246
0.3,0.5,0.2,0.08434835222591501,0.08422730084345331,1.1138357937745889,0.252403615605362,-0.09962762731513186,-0.040399268119469034
0.3,0.6,0.1,0.08332938183583873,0.09879773244043102,0.9687337094050315,0.23434329947697302,-0.12572720554074035,-0.052918590216861294
0.3,0.7,0.0,0.08220541135235292,0.11390725283152396,0.8574229545316671,0.22044764854122384,-0.15170795755829525,-0.06771128285267225
0.4,0.0,0.6,0.09255725104526677,0.06087759434472078,1.4774257472590266,0.285589768720845,-0.047960068281973633,-0.02647061071487733
0.4,0.1,0.5,0.09203627278107909,0.058526938637839615,1.5615708932537289,0.3218664269760272,-0.04583849936213247,-0.020764255989515923
0.4,0.2,0.4,0.09140981020508421,0.06105764721138181,1.5221911791017482,0.3338698051106862,-0.046965155782623835,-0.018655442052465165
0.4,0.3,0.3,0.09067776759646033,0.06783550422804605,1.3942023554663119,0.3246133835471939,-0.05708782799382739,-0.024352146401221852
0.4,0.4,0.2,0.08983991928979106,0.07769744631265908,1.239319206853648,0.30549048184097866,-0.0778024395037441,-0.034472857788254596
0.4,0.5,0.1,0.08889566025951982,0.08959465630708499,1.0947261613403523,0.28489988131975297,-0.10398434112321464,-0.04634184603235525
0.4,0.6,0.0,0.08784437612762892,0.10280456099445064,0.9721353261316339,0.2663679309398259,-0.1300477955905257,-0.05985120673490618
0.5,0.0,0.5,0.09707344106734676,0.07613011311318067,1.2398136713130723,0.28675969227821285,-0.0799909035805626,-0.03902196603952235
0.5,0.1,0.4,0.09652885262809072,0.07322579611075819,1.3082505124728487,0.31739604477753663,-0.0644687821876605,-0.03338471684859634
0.5,0.2,0.3,0.09587770075563863,0.07428036765705126,1.3099809102452393,0.3331937790630314,-0.06201575854132879,-0.027716519022607855
0.5,0.3,0.2,0.0951198114622927,0.07905348222997656,1.2510933288007027,0.3332829404383547,-0.06531632760976736,-0.02950247820664398
0.5,0.4,0.1,0.0942547300430186,0.0868775695966178,1.1577497180516663,0.32259620761419877,-0.08331987180323097,-0.040480445542024346
0.5,0.5,0.0,0.09328074184673396,0.09698094460212661,1.0552176520154566,0.3070695748384507,-0.10833567567508218,-0.05240072343989344
0.6,0.0,0.4,0.10142092663253331,0.09142947161146761,1.0808612688050692,0.2872866593485012,-0.11178904418602131,-0.05138054153016913
0.6,0.1,0.3,0.10085440623320255,0.08812703859744046,1.1369002476836634,0.31358758017961696,-0.0924875006857323,-0.0458107435839642
0.6,0.2,0.2,0.10018023992949723,0.0881434088911271,1.1533539416135414,0.330194182538299,-0.08947108404249882,-0.040210660662407305
0.6,0.3,0.1,0.09939817568419564,0.09140168787520736,1.1293059795278322,0.3354901440264885,-0.08980580300352836,-0.03622143824030821
0.6,0.4,0.0,0.09850589727688659,0.0975236518789623,1.0752492388849868,0.33126451488243447,-0.09840352285609077,-0.04852096648348525
0.7,0.0,0.3,0.10560015486563976,0.10678233690601102,0.9669145506951757,0.2874378757207923,-0.14335241787553565,-0.06355141866313097
0.7,0.1,0.2,0.10501337646313422,0.10316878222501526,1.0136488544916138,0.3103730605732266,-0.12193501050829536,-0.05804748014486438
0.7,0.2,0.1,0.10431786465066706,0.10241116642371066,1.035107523499797,0.3266290463901732,-0.1163589498992772,-0.052513897447276636
0.7,0.3,0.0,0.10351153324717167,0.10450243909560157,1.0289500312360398,0.3346494210798066,-0.11657495281218255,-0.04694978177755238
