Month,Nifty,Gold,Liquid
2010-02,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-03,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-04,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-05,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-06,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-07,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-08,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-09,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-10,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-11,0.1033058481318355,0.19669415186810413,0.7000000000000604
2010-12,0.1033058481318355,0.19669415186810413,0.7000000000000604
2011-01,0.1033058481318355,0.19669415186810413,0.7000000000000604
2011-02,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-03,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-04,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-05,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-06,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-07,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-08,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-09,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-10,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-11,0.10507801437560138,0.1949219856243999,0.6999999999999987
2011-12,0.10507801437560138,0.1949219856243999,0.6999999999999987
2012-01,0.10507801437560138,0.1949219856243999,0.6999999999999987
2012-02,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-03,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-04,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-05,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-06,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-07,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-08,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-09,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-10,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-11,0.10842172368921596,0.1915782763107831,0.700000000000001
2012-12,0.10842172368921596,0.1915782763107831,0.700000000000001
2013-01,0.10842172368921596,0.1915782763107831,0.700000000000001
2013-02,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-03,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-04,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-05,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-06,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-07,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-08,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-09,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-10,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-11,0.10997715988517524,0.1900228401147347,0.7000000000000901
2013-12,0.10997715988517524,0.1900228401147347,0.7000000000000901
2014-01,0.10997715988517524,0.1900228401147347,0.7000000000000901
2014-02,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-03,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-04,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-05,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-06,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-07,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-08,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-09,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-10,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-11,0.11795271353051337,0.1820472864692637,0.7000000000002229
2014-12,0.11795271353051337,0.1820472864692637,0.7000000000002229
2015-01,0.11795271353051337,0.1820472864692637,0.7000000000002229
2015-02,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-03,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-04,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-05,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-06,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-07,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-08,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-09,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-10,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-11,0.12411227283938335,0.1758877271606016,0.700000000000015
2015-12,0.12411227283938335,0.1758877271606016,0.700000000000015
2016-01,0.12411227283938335,0.1758877271606016,0.700000000000015
2016-02,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-03,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-04,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-05,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-06,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-07,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-08,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-09,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-10,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-11,0.1272477610795148,0.17275223892047897,0.7000000000000062
2016-12,0.1272477610795148,0.17275223892047897,0.7000000000000062
2017-01,0.1272477610795148,0.17275223892047897,0.7000000000000062
2017-02,0.12777868297364506,0.17222131702638363,0.6999999999999713
