start,Strategy,XIRR,Worst wealth drop
2010-02,Equity SIP,0.18182929272064546,-0.04818532671149356
2010-02,Equal-weight SIP,0.10432021904308687,-0.009059318917652881
2010-02,60/20/20 annual rebal,0.13922107126132044,-0.01603122963031489
2010-02,Risk-parity SIP,0.09226232447832462,0.0
2010-02,Max-Sharpe SIP,0.08974822360837734,0.0
2010-02,Optimized SIP,0.09101413395228951,0.0
2010-03,Equity SIP,0.18254224626018603,-0.04571981974860795
2010-03,Equal-weight SIP,0.09725412940841699,-0.00758389363905132
2010-03,60/20/20 annual rebal,0.13287790616963385,-0.014912138927889229
2010-03,Risk-parity SIP,0.0874912553496345,0.0
2010-03,Max-Sharpe SIP,0.08458530597314275,0.0
2010-03,Optimized SIP,0.08604631542984673,0.0
2010-04,Equity SIP,0.15967991232818812,-0.042985625116330195
2010-04,Equal-weight SIP,0.08587545686200929,-0.00698320194466906
2010-04,60/20/20 annual rebal,0.11755949083243321,-0.016842754010843564
2010-04,Risk-parity SIP,0.08301940509120903,0.0
2010-04,Max-Sharpe SIP,0.08036453077672039,0.0
2010-04,Optimized SIP,0.08169798285601095,0.0
2010-05,Equity SIP,0.14174147423811076,-0.0581095524411247
2010-05,Equal-weight SIP,0.08013673678463189,-0.006714533224727037
2010-05,60/20/20 annual rebal,0.10614861441514117,-0.02212978208941896
2010-05,Risk-parity SIP,0.0814042821877865,0.0
2010-05,Max-Sharpe SIP,0.07897068455010364,0.0
2010-05,Optimized SIP,0.08019679870933208,0.0
2010-06,Equity SIP,0.1513818038087229,-0.05769212581353578
2010-06,Equal-weight SIP,0.08395896499383766,-0.006437986378011518
2010-06,60/20/20 annual rebal,0.1105031120643575,-0.024050411094341362
2010-06,Risk-parity SIP,0.08256359151137453,0.0
2010-06,Max-Sharpe SIP,0.08006007822403176,0.0
2010-06,Optimized SIP,0.08132501911316747,0.0
2010-07,Equity SIP,0.14510169849248328,-0.05724133474448356
2010-07,Equal-weight SIP,0.07903656925113803,-0.006141377788030589
2010-07,60/20/20 annual rebal,0.10583369277125486,-0.021786803177119896
2010-07,Risk-parity SIP,0.07996220452535226,0.0
2010-07,Max-Sharpe SIP,0.07744603133639794,0.0
2010-07,Optimized SIP,0.07872109844674671,0.0
2010-08,Equity SIP,0.15021983056079286,-0.05679183303817459
2010-08,Equal-weight SIP,0.07391490932581055,-0.005847344692800349
2010-08,60/20/20 annual rebal,0.10305947749790621,-0.020912773874346757
2010-08,Risk-parity SIP,0.07581903037310016,0.0
2010-08,Max-Sharpe SIP,0.07302887537560268,0.0
2010-08,Optimized SIP,0.07444461491533878,0.0
2010-09,Equity SIP,0.11989691613678422,-0.056328645375042896
2010-09,Equal-weight SIP,0.06921642350375626,-0.005540513310721917
2010-09,60/20/20 annual rebal,0.09150585474791391,-0.01995050246627561
2010-09,Risk-parity SIP,0.07645737113162054,0.0
2010-09,Max-Sharpe SIP,0.07419954338143034,0.0
2010-09,Optimized SIP,0.07535002181494073,0.0
2010-10,Equity SIP,0.11633827464150061,-0.05584928657957433
2010-10,Equal-weight SIP,0.06415502110385125,-0.00522593988347575
2010-10,60/20/20 annual rebal,0.08826572913380225,-0.019244667957799222
