Month,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
2010,0.26756468767772157,0.19493099963457095,0.22416145757489425,0.11362265392700555,0.11362285266004846,0.11362310848227675
2011,-0.23660756024896645,0.045257437789435695,-0.06872379748114321,0.08552754931331208,0.09109351930495735,0.08830820419195518
2012,0.2928171893678573,0.15148653893428188,0.21394526363054744,0.11456391386252562,0.11224599133808577,0.11343977180079734
2013,0.08116328172852483,-0.015465331052169073,0.02821780817825781,0.035411518796613084,0.03129648924901196,0.03335362006631404
2014,0.33045570097844323,0.14661972733841,0.21672061648823182,0.10518049117043438,0.10050423044240486,0.10284642884079798
2015,-0.028133894345274135,-0.001135107739522745,-0.013030954044755294,0.04179888466968462,0.04134404325578034,0.041565039978268103
2016,0.043467295003494444,0.07138830426360587,0.06326401174366847,0.07716347826968817,0.07785209886637734,0.07750748245138439
2017,0.3028238169250028,0.15145104277511767,0.2078088873808881,0.09487872411468845,0.09262618571465131,0.09376722201260534
2018,0.044907517328525826,0.05869607044219993,0.054044059252627896,0.06544480594934221,0.06556164553104371,0.06550463236023574
2019,0.1346694888247013,0.13276902746567343,0.13631845386258923,0.095954370657366,0.09668820097125508,0.0963639046565139
