,Return
2011 slowdown + euro crisis (Jan-Dec 2011),-0.23660756024896645
"2013 taper tantrum, rupee crash (Jun-Aug 2013)",-0.08288751083700963
2015-16 China/global sell-off (Mar 2015-Feb 2016),-0.20471975568342748
2018 IL&FS crisis (Sep-Oct 2018),-0.10873967507581617
