start,XIRR,Worst wealth drop
2010-02,0.18182929272064546,-0.04818532671149356
2010-03,0.18254224626018603,-0.04571981974860795
2010-04,0.15967991232818812,-0.042985625116330195
2010-05,0.14174147423811076,-0.0581095524411247
2010-06,0.1513818038087229,-0.05769212581353578
2010-07,0.14510169849248328,-0.05724133474448356
2010-08,0.15021983056079286,-0.05679183303817459
2010-09,0.11989691613678422,-0.056328645375042896
2010-10,0.11633827464150061,-0.05584928657957433
2010-11,0.12061354117426795,-0.05540258427321232
2010-12,0.11234285368742558,-0.054937732319872534
2011-01,0.11109054779385953,-0.05444158045392755
2011-02,0.08978365388932277,-0.05394829643235377
2011-03,0.05612932490784839,-0.0950756972901301
2011-04,0.09501110872142546,-0.09457572637146905
2011-05,0.09898517131267785,-0.09410023913798626
2011-06,0.11260225134561984,-0.09359878917593778
2011-07,0.11641642071957804,-0.09305890766371339
2011-08,0.13072332328479097,-0.09250478139512408
2011-09,0.13469556799934815,-0.09190898975878559
2011-10,0.12279008177819287,-0.09122478076924478
2011-11,0.11965029682514183,-0.09049687631739611
2011-12,0.09732160667136659,-0.08978670099171615
2012-01,0.09158206020834586,-0.08896220958820955
2012-02,0.10526134128728996,-0.08804993990919974
2012-03,0.11646732858690632,-0.08719103568443543
2012-04,0.12621850160071743,-0.08631576942206798
2012-05,0.12817295418624633,-0.08537541485558564
2012-06,0.1377874986586755,-0.08437065498816654
2012-07,0.12878553609162502,-0.08323222825091847
2012-08,0.14766770756021425,-0.08210120111169272
2012-09,0.13670356379230714,-0.08088512656472135
2012-10,0.12697428680406916,-0.07959441353323149
2012-11,0.14530449565019365,-0.07832504061042311
2012-12,0.1369244460436263,-0.07695119456181976
2013-01,0.14511717720194564,-0.07554928827158858
2013-02,0.16001905680910997,-0.07405823036939652
2013-03,0.13596812423541127,-0.07249765143285558
2013-04,0.11690759177700767,-0.07072177902858146
2013-05,0.13704274595323376,-0.06880237748251761
2013-06,0.13288338973143152,-0.06681540934253627
2013-07,0.12806990273984462,-0.06468683735046565
2013-08,0.1473622382832099,-0.062319494751642224
2013-09,0.15399933409694375,-0.05969090545463551
2013-10,0.12168344314303632,-0.05665896944924642
2013-11,0.0964778547706122,-0.08675463204392575
2013-12,0.1114236624812251,-0.08622500806465894
2014-01,0.10686290580706913,-0.08565851436754335
2014-02,0.10182003811223375,-0.08507579149872957
2014-03,0.09616140668640934,-0.08444143087813738
2014-04,0.12201823821574397,-0.08379332936929906
2014-05,0.1225192786011279,-0.08315504017722164
2014-06,0.12457957235066665,-0.08248316156489666
2014-07,0.11671676247059898,-0.08182926269266755
2014-08,0.09036544697768785,-0.08117791177255906
2014-09,0.08451940237046893,-0.08050494539949538
2014-10,0.09842602217136506,-0.07982022571209524
2014-11,0.10990657006847272,-0.07910321988422198
2014-12,0.11367949572322589,-0.07838365314255746
2015-01,0.11533451458005181,-0.0776530133362564
