,Value
Invested,1190000.0
Final value,2176118.870631888
Wealth multiple,1.8286713198587294
XIRR,0.11713088675299681
TWR CAGR,0.11015777984922637
Volatility,0.15325634115514628
Sharpe,0.76008973012021
Sortino,1.31810265121415
Max drawdown,-0.23660756024896668
Calmar,0.4655716822121598
Worst wealth drop,-0.11209796514939019
Annual sell turnover,0.0
Annual cost drag,0.00013374829418131385
Sharpe vs Liquid,0.28666000656025714
