refit,asset,Equity mom 3m,Equity mom 12m,Equity vol 12m,Bonds mom 3m,Bonds mom 12m,Bonds vol 12m,Gold mom 3m,Gold mom 12m,Gold vol 12m,Bond yield,Bond yield chg 12m,Dividend yield,USDINR chg 12m
1983-01,Equity,0.00765265997824042,0.01035566194357767,0.09316404691331383,0.0008383109154418072,0.012619097412810889,0.15213324490308375,0.0,0.006406540572903455,0.22138366474430543,0.04682515865794745,0.19956566736412337,0.24905594659425206,0.0
1983-01,Bonds,0.0006291280159584301,0.0,0.0,0.004999999999999999,0.0,0.8177925143315036,0.014999999999999996,0.11120280568291871,0.0,0.0,0.0,0.0,0.050375551969619174
1983-01,Gold,0.008519103751589947,0.0010087338547322463,0.0008365810140894303,0.0,0.0,0.3867509856579207,0.0,0.0,0.4344447826047132,0.0,0.0,0.16843981311695444,0.0
1984-01,Equity,0.020670280438014277,0.004792665643422021,0.16426487757688357,0.013774091679247993,0.0015577867328759624,0.1374568945604836,0.0,0.0024606918243159867,0.13093573801634756,0.029072684793034372,0.003930838848746659,0.49108344988662794,0.0
1984-01,Bonds,0.0,0.0,0.05888689216171124,0.0,0.0,0.2352313553970668,0.002008301979049038,0.10705343078667784,0.0026000301861607276,0.5398317102054587,0.0,0.0007889158864327795,0.05359936339744289
1984-01,Gold,0.035613292277775585,0.022976666944195437,0.0005922791379044286,0.0023453311879354094,0.0016940397045162531,0.2860680123555035,0.0,0.002295091263199572,0.4801388424612134,0.00392072145088562,0.0,0.16242683469255728,0.0019288885243135695
1985-01,Equity,0.021084468251548274,0.015717011849641586,0.14660559137168303,0.010482970979813912,0.0026968520096211156,0.11542864980923805,0.0,0.0,0.09181396563251529,0.06302643908805206,0.006914891366140568,0.5262291596417462,0.0
1985-01,Bonds,0.0009008811404699589,0.0,0.09187039238406144,0.0,0.0,0.05153497472470458,0.00136111147914056,0.0037172278237651156,0.00012969118920133158,0.8234231611698669,0.0,0.0010508048045185345,0.026011755284271618
1985-01,Gold,0.05232651340341268,0.04476024830563844,0.0006596255111336695,0.0,0.001447309454972701,0.19300445953760026,0.0,0.002263536656700644,0.4666850840120526,0.00700706077149339,0.0,0.22773391370981805,0.004112248637177427
1986-01,Equity,0.01886607751110588,0.08329479141627277,0.04062321548224003,0.015184197924043174,0.03900567016827419,0.2796541332774798,0.00064397473827423,0.012157813379623121,0.00745942621575829,0.11771477562969662,0.01023351127793709,0.35618643937568784,0.01897597360360716
1986-01,Bonds,0.00038364634872577056,0.0001351856347637058,0.04559449733739945,0.0,0.0,0.06789929328903185,0.0008928389581356897,0.000765230282551017,0.0,0.8627444563594693,0.0,0.00041171776220458984,0.021173134027718667
1986-01,Gold,0.05915431902468622,0.03053661773867888,0.0,0.0,0.0033429485131688174,0.13691239020054266,7.311681820972538e-05,0.010480977813992329,0.05185444008641142,0.031200480968914802,0.00022291475210654585,0.6652341565555855,0.010987637527703079
1987-01,Equity,0.03578131338765539,0.08475553493317632,0.024753845192999693,0.018511980662245853,0.08372379473535946,0.38926037191846746,0.0016732159975764672,0.04431706331328508,0.01570250187240549,0.1671662999525214,0.01859651917355387,0.11318089526719254,0.0025766635935609854
1987-01,Bonds,0.0,0.0029385359092957163,0.004622309203232566,0.0,0.006297187187756653,0.1443035269723239,0.0010577810158516657,0.35853433741877455,0.012744807050786124,0.45235439772799735,0.003622176174526563,0.003419906800689456,0.010105034538765307
1987-01,Gold,0.04103780811583043,0.00958401255000992,0.0,0.0,0.011911006238402399,0.08199488829556936,0.0,0.014305352805261889,0.10794062293603268,0.018466906202712914,0.028081167423734347,0.6545248651288283,0.03215337030361781
1988-01,Equity,0.04454566735145502,0.07200492801890408,0.035279024787801865,0.03240402646555534,0.08214693256446878,0.45181253875543104,0.00717094566126268,0.05585019093967101,0.024085592677515227,0.07603414514906733,0.02622863853940549,0.08896418593373431,0.003473183155727792
1988-01,Bonds,0.002910240594422181,0.002543017048250986,0.047085303969142796,0.0,0.0,0.08162001479889573,0.0012296371770821964,0.39685331917731564,0.017866747338477797,0.4409002989619019,0.0022451089006236304,0.0058737911147565556,0.0008725209191305548
1988-01,Gold,0.010560461288036853,0.005858325760097153,0.0005834512968632332,0.0,0.015868436221882904,0.05169865065469394,0.0,0.009322108279705595,0.15913507350612063,0.03554826741674188,0.04540114257487474,0.5876960089754869,0.07832807402549623
1989-01,Equity,0.041366391193137814,0.10855125614668754,0.12821636274961257,0.07051135072046051,0.06241468490384218,0.23298863255893795,0.00108416501741799,0.057697472373248376,0.033458833726561485,0.12174679034905354,0.009369152451635636,0.12477276655567976,0.007822141253724685
1989-01,Bonds,0.00048584433858654994,0.0021693095291752712,0.03064179960846936,0.0,0.0,0.14433185648934943,0.0009219655423509393,0.3521143216375532,0.011966234186549058,0.44901799800257164,0.00116071096390069,0.006375204496795132,0.0008147552046986207
1989-01,Gold,0.011010056018349116,0.0036515903830842376,0.0007027541811694935,0.0,0.006552890319598104,0.06584235321388626,0.002081852820694961,0.0025912711920668494,0.1210559046799592,0.03500344922006193,0.06551113196031787,0.6303094106995737,0.05568733531123829
1990-01,Equity,0.0175097945260258,0.12728631630730794,0.20064200386964698,0.04617206922491054,0.06717844865028752,0.1942203980978108,0.00217201316651381,0.08988472668862209,0.03309058547876985,0.18918789138708836,0.0064338809574172135,0.023516182112314495,0.0027056895332843185
1990-01,Bonds,0.0018190209687348406,0.013707770495900985,0.014151668160675429,0.0,0.000677851583291715,0.12373991020841202,0.0,0.5742766951095205,0.014487660073204574,0.23860999589590526,0.0034948117840967142,0.003088025781298957,0.011946589938959166
1990-01,Gold,0.007736599757456664,0.0025899652167194953,0.00620567073545339,0.0,0.006282613110532966,0.0567856620277412,0.0,0.00581239790688436,0.10505925420309659,0.034416846410850764,0.06354054639862507,0.6496608127012385,0.061909631531400944
1991-01,Equity,0.015064764620747368,0.11753799963489434,0.24039628955126852,0.04283680321842184,0.06630377641290293,0.15280599897926822,0.0007175724558003841,0.06041149505041983,0.031180360431815598,0.2535453455333961,0.006345817725471809,0.010883727595989165,0.0019700487896037763
1991-01,Bonds,0.007122430322899859,0.017570968257588093,0.014804157525454305,0.0005980380635476028,0.0007225611569581826,0.10073444075066514,0.0010641294513630275,0.4894766298955496,0.022454030830317134,0.34148166821841186,0.0,0.002095972765350646,0.0018749727618945478
1991-01,Gold,0.0046056777145402125,0.0026483213647293083,0.005438216579669457,0.0005697981534009315,0.0010797524610185853,0.024721656780118225,0.0,0.0011013609891500713,0.11626628903732855,0.04063861523958188,0.03747552282966932,0.6785277099314878,0.08692707891930564
1992-01,Equity,0.01125413360235876,0.27557020730164583,0.1931260104558428,0.06655168288845802,0.0665616440042817,0.026725187542756774,0.0006515575502614229,0.06546824258921105,0.02707312325553581,0.24499119893886212,0.004890884669360056,0.0036426531719518955,0.013493474029473797
1992-01,Bonds,0.00364319908607395,0.10728526456664937,0.005606502748341728,0.00016521672517770018,0.0,0.06016973261440352,0.0,0.5041917828549712,0.00132614664629955,0.28774912424726773,0.0019896514480223088,0.006320471162956702,0.021552907899836264
1992-01,Gold,0.002575118494326297,0.0021386202513961534,0.016907732584301973,0.0,0.008237201114379372,0.06949958051690029,0.0,0.0027504779563855474,0.14654216526730068,0.04325973397611037,0.004524859411663532,0.6139874193496195,0.08957709107761634
1993-01,Equity,0.015362419786602695,0.1942261841361143,0.25225612430077743,0.10888504023704085,0.05383971101490861,0.032791594261299066,0.0026879252973741542,0.0824006467244064,0.025550560926182436,0.20157703737677818,0.006364118235914252,0.01351577534789395,0.010542862354707774
1993-01,Bonds,0.0025118694886080714,0.14187737074164816,0.041205210084886305,0.00039615514102166324,0.001914540812267325,0.09013490124070597,0.0007560877164468425,0.32780940806770775,0.002592275074397755,0.16917764676819777,0.0,0.006044963463922568,0.21557957140018977
1993-01,Gold,0.003987014275495512,0.004045083829721721,0.014549372584272472,0.0,0.013664614552800092,0.12786533367834038,0.0,0.01712955287633733,0.13046355413696673,0.05741821626630177,0.00809293542959079,0.5611089296931243,0.06167539267704894
1994-01,Equity,0.01075158857384664,0.18691420240116421,0.28653409473972674,0.10629099941549672,0.03576206449348725,0.05118498886426097,0.0019476623502396012,0.09894502131509576,0.048820189363640895,0.12797919869687702,0.013021240040149621,0.011680896621173538,0.020167853124841022
1994-01,Bonds,0.0012947731411223466,0.13843464379474593,0.04926179310730493,0.0005726719866112706,0.0,0.12192527675711788,0.0018503326185960068,0.22478694101689814,0.0022337901704609846,0.11839145931612272,0.003434804998019731,0.005938706072167059,0.331874807020833
1994-01,Gold,0.0032663076396616713,0.0032998917158998716,0.029593987561395356,0.00010006082350024395,0.01597640822715821,0.10576063595657435,0.0,0.0067098120035861495,0.11056396968266977,0.08230214169756209,0.020665378320738052,0.5777359535982546,0.04402545277299983
1995-01,Equity,0.009157959589182127,0.17346773588367226,0.308553004986479,0.06538052922485996,0.047937822984183955,0.018630658067905717,0.001161814725783359,0.10030099470561823,0.04976318505768005,0.1953604369284268,0.009662362035576742,0.013766346828009153,0.006857148982622475
