Strategy,Windows,Median XIRR,5th pct XIRR,Worst XIRR,Best XIRR,XIRR std,% windows XIRR < 0,% windows beating Equity SIP,Median worst drop,Worst drop (any window)
Equity SIP,403,0.16823209193517763,0.015907974460988183,-0.04677748136062659,0.32836530834261785,0.09008011933185185,0.02481389578163772,0.0,-0.16265766858913622,-0.3079487801217886
Equal-weight SIP,403,0.12270354075965766,0.07985631835037924,0.06539450516338359,0.26011517898860237,0.04833275235841569,0.0,0.2555831265508685,-0.043432912493807985,-0.07585867972646043
Optimized SIP,403,0.12208671235475767,0.06644642501063493,0.04976374371664262,0.2660730966732243,0.050313679333478106,0.0,0.23325062034739455,-0.04300489753990033,-0.08058439188838307
Optimized + Ridge,403,0.12514657931680429,0.07843888608514474,0.06805908510885551,0.2640164960397074,0.04453000058306955,0.0,0.2630272952853598,-0.042605947078683815,-0.0809828239985868
Optimized + Random forest,403,0.12063960652009077,0.06782196161231173,0.057970075677567505,0.2623232046568057,0.0478425930970657,0.0,0.24813895781637718,-0.04474111905746525,-0.07492377623878965
Optimized + Gradient boosting,403,0.12406495917380954,0.07037207296300438,0.05659099244512716,0.26334539715299377,0.04697485981841913,0.0,0.2531017369727047,-0.04382677660630763,-0.07717064474579138
Optimized + Oracle (perfect foresight),403,0.14900792928497947,0.11105914614178233,0.09127270897147026,0.2765054238354336,0.04171411539979248,0.0,0.4044665012406948,-0.03996203504245255,-0.07403570811868776
