Strategy,Invested,Final value,Wealth multiple,XIRR,TWR CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar,Worst wealth drop,Annual sell turnover,Annual cost drag
Equity SIP,5220000.0,698895983.8873411,133.88811951864773,0.1694707491446084,0.18011598568074572,0.12819741185804556,1.3646308430784424,2.3963716584188117,-0.39030985931210915,0.46146921832358057,-0.3844409502456564,0.0,1.3381351409469385e-06
Equal-weight SIP,5220000.0,309463387.2129151,59.28417379557761,0.1438208461983027,0.14915829592806773,0.08428712832388371,1.7000353603499148,3.8200191367921787,-0.14524460977285858,1.026945482943082,-0.1319575388653016,0.0,2.6048097855867455e-06
Optimized SIP,5220000.0,255750794.2502688,48.99440502878712,0.1377950721342693,0.14524675609893833,0.07875201201273761,1.7699330495535013,4.466443148611632,-0.09078860986056614,1.5998345642918141,-0.09006110870230244,0.07909491652262308,0.00016102736131303825
Optimized + Ridge,5220000.0,270336450.3647265,51.78859202389396,0.13954963340820672,0.147557501881324,0.07974121661065438,1.7745399392759102,4.374833129364127,-0.08706641115774982,1.6947695433773466,-0.08644353412837225,0.11807573420482982,0.0002386965222137499
Optimized + Random forest,5220000.0,223526092.54440963,42.82109052574897,0.13352916590613007,0.14203520233986366,0.0787560785395757,1.7338454747164143,4.195140795933867,-0.10473844468541726,1.3560942475942572,-0.08880540730546982,0.09239891052655362,0.00018782216869161388
Optimized + Gradient boosting,5220000.0,236419677.80316585,45.29112601593216,0.13530654215167717,0.1441194766953875,0.07922132366542234,1.747412210424129,4.191312887685486,-0.09011459176379577,1.5992912343557728,-0.08913348220821804,0.118013598817508,0.00023886808940933992
Optimized + Oracle (perfect foresight),5220000.0,735360966.5615718,140.8737483834429,0.17106952060070987,0.17677042491138084,0.07877552452809997,2.1183678887349005,5.9824319156940495,-0.0789203080239157,2.2398597944880425,-0.07789461853602764,0.21883039508673544,0.0004389123565296443
