,Return
1987 crash (Sep-Nov 1987),-0.09564287798721216
Dot-com bust (Sep 2000-Sep 2002),-0.16526877157615438
Global financial crisis (Nov 2007-Feb 2009),-0.1284125980604861
COVID crash (Feb-Mar 2020),-0.08972365362591372
2022 rate shock (Jan-Sep 2022),-0.14665033077579614
