,Return
1987 crash (Sep-Nov 1987),-0.0879385751377858
Dot-com bust (Sep 2000-Sep 2002),0.0009089586982655717
Global financial crisis (Nov 2007-Feb 2009),0.2546645055006438
COVID crash (Feb-Mar 2020),-0.016342114421369902
2022 rate shock (Jan-Sep 2022),-0.08733609589952307
