,Return
2011 slowdown + euro crisis (Jan-Dec 2011),0.08552754931331208
"2013 taper tantrum, rupee crash (Jun-Aug 2013)",0.038675804039957296
2015-16 China/global sell-off (Mar 2015-Feb 2016),0.04873864354572777
2018 IL&FS crisis (Sep-Oct 2018),0.0031962869039303676
