refit,asset,Equity mom 3m,Equity mom 12m,Equity vol 12m,Bonds mom 3m,Bonds mom 12m,Bonds vol 12m,Gold mom 3m,Gold mom 12m,Gold vol 12m,Bond yield,Bond yield chg 12m,Dividend yield,USDINR chg 12m
1983-01,Equity,0.004729663549948142,0.015735375769110098,0.17406828294602025,0.0010780572587328488,0.007144516546215377,0.034700507744954395,0.030262623308340734,0.1607584222984141,0.061667736536277426,0.08386535974058794,0.05052985995623048,0.2830966884354436,0.09236290590972443
1983-01,Bonds,0.006189868573198511,0.11279216770717798,0.05095988467330453,0.0018048434142178427,0.05053393466222315,0.019648058017381266,0.03590070053381229,0.13281180378329746,0.09938492510663159,0.2180422813214243,0.059870929891963354,0.03333847159484725,0.17872213072052057
1983-01,Gold,0.0032907378018247353,0.13862974658929925,0.0943190347146696,0.006279729816369434,0.04534322034467766,0.29706724109759797,0.007516010404573842,0.03241890550088871,0.03967928406053477,0.0012823450544069894,0.07079140498757988,0.24290137892544095,0.02048096070213642
1984-01,Equity,0.0019513830388046415,0.049776998633411854,0.15252432194516863,0.019954748463107286,0.02602486088469167,0.018863676352622923,0.014614296975030873,0.12004485891788393,0.08632962155374642,0.04855610673562061,0.07750661312981755,0.3004605559186166,0.08339195745147703
1984-01,Bonds,0.006105599739366123,0.1279990190197283,0.03931355998419753,0.022391568142861647,0.009313066924624861,0.07786129860035468,0.026791526029836962,0.12872476320634008,0.12923684276819683,0.20176985813612044,0.040154184627139135,0.013012816307024918,0.17732589651420838
1984-01,Gold,0.014380773164508196,0.11160740068801094,0.10525393540684853,0.003629286359260881,0.01329157731152685,0.25672426554856054,0.005272976634921872,0.03315179188116979,0.09304007204041846,0.03580701569135208,0.05488715636808949,0.24467624934554616,0.02827749955978623
1985-01,Equity,0.008736479740339144,0.07601457559009327,0.1659821408355542,0.011958608699063483,0.001458561086835963,0.015514967256577923,0.000758702658172056,0.10634602548027382,0.09854162777088887,0.040150178179207935,0.07265189572187689,0.3210675247745459,0.08081871220657046
1985-01,Bonds,0.010684870811369944,0.14431007783339225,0.04131210728325544,0.0108777402143316,0.013235457827675374,0.07920879917803708,0.039402862372500805,0.13651791457579662,0.12196188498609965,0.18443648838372087,0.04801953790724005,0.011349589330123252,0.15868266929645708
1985-01,Gold,0.008133400742860309,0.10024118137920485,0.08458561065562806,0.009752367392206439,0.027550300908973663,0.20681530496041153,0.015827836607965443,0.012831837030915337,0.10861896182072853,0.0957696092035942,0.024980109788932336,0.2687744718958277,0.03611900761275155
1986-01,Equity,0.003526252240224374,0.10056031057992099,0.14832858847908373,0.0162971888845862,0.006260796163579892,0.0027859464977588147,0.01573162428750918,0.1350305444083938,0.12938837490902344,0.02934824178613243,0.06255134260049171,0.2588209987438689,0.09136979041942667
1986-01,Bonds,0.002422531252376111,0.15183848015172072,0.03411181518346248,0.012796713182228161,0.007729723824963586,0.07407700117444997,0.027369975901973067,0.11643618800039145,0.13218301013030356,0.1998649736332551,0.04927309965999297,0.02286839733310592,0.16902809057177703
1986-01,Gold,0.0024827227167320137,0.11034181695749457,0.07980712365158646,0.008349084456780669,0.032379450240143326,0.18192278172892723,0.014633740898867605,0.0010687807833140055,0.0830283304210059,0.14523062210814097,0.03355108152184977,0.2820123318486059,0.025192132666551334
1987-01,Equity,0.010522199802265549,0.10026463947744375,0.11183717514708309,0.02614510600658898,0.059898847615105846,0.005874095085696163,0.022115631373670327,0.15163609589878857,0.15534180696756741,0.09692607319336734,0.06977607940510418,0.14631884763870714,0.043343402388611715
1987-01,Bonds,0.01204900985194515,0.1483123808941255,0.01831093407323758,0.003910013879265735,0.055097628627938613,0.05407506557251131,0.01248443324410111,0.04582513021013859,0.1696294455548919,0.25745193193451515,0.01749965750681432,0.10452075229153199,0.10083361635898291
1987-01,Gold,0.0005047544253048974,0.10746404843827871,0.08563258180010874,0.006317556861756819,0.021070210837272736,0.1809973343400203,0.009687394268884163,0.011813700574686857,0.09688481777688673,0.13506593845977405,0.03606663117617618,0.2805879243996743,0.02790710664117532
1988-01,Equity,0.032313365152833506,0.08921899835982157,0.10691138391422435,0.02953167742382995,0.09620732555571825,0.039373497414643965,0.009620726197881298,0.15736434205116678,0.19248546793817503,0.08907670328979621,0.04597070685749139,0.09945926724013537,0.012466538604282143
1988-01,Bonds,0.005386359020618333,0.16452481838760014,0.02600971599311081,0.018886683182109114,0.03432944742007124,0.008420317402227324,0.010391908507881374,0.08281076063774111,0.13305085525608787,0.3265146634230391,0.002657432495009512,0.09527251565277986,0.09174452262172426
1988-01,Gold,0.005922715153068094,0.10026652211615031,0.08890454234971983,0.002679237480040791,0.006952014288217635,0.13271750785186584,0.0013462733256958993,0.04466494769386172,0.1389309299203662,0.15024215406083946,0.02260542402489054,0.2728241015387867,0.03194363019649707
