Strategy,Invested,Final value,Wealth multiple,XIRR,TWR CAGR,Volatility,Sharpe,Sortino,Max drawdown,Calmar,Worst wealth drop,Annual sell turnover,Annual cost drag
Equity SIP,5220000.0,119106073.96488647,22.817255548828825,0.11344732315864509,0.1198132041358515,0.12255352674399453,0.9902931529732819,1.489015594772641,-0.49036491039263164,0.24433478333496159,-0.48322598985288334,0.0,5.816398550844661e-06
Equal-weight SIP,5220000.0,58470675.7678168,11.201278882723525,0.09029587036270743,0.08977514011058374,0.06884244553153124,1.2877957386961871,2.1839828639040113,-0.18744725698159015,0.47893546993542224,-0.18248370793263535,0.0,9.917660389949973e-06
Optimized SIP,5220000.0,40653139.026181206,7.787957667850805,0.07817071680997836,0.08195749284258391,0.05673037558814507,1.4212973600387566,2.681694474511885,-0.1697158421256536,0.4829100914568984,-0.16637922358797808,0.04720522303400683,0.00010604265433664651
Optimized + Ridge,5220000.0,43343119.519115746,8.303279601363169,0.08032725295068718,0.08405512245226188,0.06164550233254556,1.3443514033260384,2.4667507745227724,-0.17407452091398068,0.48286861288446636,-0.1681643419062374,0.1506367084027184,0.0003113183048995349
Optimized + Random forest,5220000.0,34617035.51572889,6.63161599918178,0.07271971649273104,0.0785612582122277,0.05820216517359958,1.3325128054449324,2.407030530648415,-0.16347016515024926,0.4805846873649403,-0.1600596918664008,0.14000103486602788,0.000292110865081952
Optimized + Gradient boosting,5220000.0,33893216.672465995,6.492953385529884,0.07199840863838873,0.07821896502441006,0.060195658836404556,1.2850820942042023,2.2587853352162646,-0.16999401651021795,0.46012775408308854,-0.16658488801722948,0.14275383299818753,0.0002978157572117777
Optimized + Oracle (perfect foresight),5220000.0,101639521.31942031,19.471172666555614,0.10833878752895917,0.11042203347917368,0.05880629909351258,1.8180099550590376,3.9326011059302126,-0.1448182374268434,0.7624870695926999,-0.1431921927195392,0.21926482072012898,0.0004447145645455954
