,Equity SIP,Equal-weight SIP,Optimized SIP,Optimized + Ridge,Optimized + Random forest,Optimized + Gradient boosting,Optimized + Oracle (perfect foresight)
1987 crash (Sep-Nov 1987),-0.25043665507262436,-0.09564287798721216,-0.09230947599792538,-0.06268158211959507,-0.12611981829768015,-0.04856748433915736,-0.04717634048597885
Dot-com bust (Sep 2000-Sep 2002),-0.3986642022684018,-0.16526877157615438,0.020710221740767754,0.0017640859297458622,0.0179637280889402,-0.0604189763925711,0.11161080646487864
Global financial crisis (Nov 2007-Feb 2009),-0.459631187454171,-0.1284125980604861,0.02522430210654414,-0.024745550533609384,-0.030665245836195787,-0.04195001436650991,0.0782462622364768
COVID crash (Feb-Mar 2020),-0.18818761014029606,-0.08972365362591372,-0.0315595944353928,-0.051338888495394475,-0.03862989947947082,-0.06857957600985853,-0.02196109976662386
2022 rate shock (Jan-Sep 2022),-0.16697216666109616,-0.14665033077579614,-0.14412492439193214,-0.14038080196367275,-0.13852561226761861,-0.1444795258564614,-0.12493546947075596
