start,XIRR,Worst wealth drop
1983-02,0.11542407319780139,-0.0705688340271734
1983-03,0.11839738994402652,-0.06969593316010947
1983-04,0.12101410240192287,-0.06878794370145114
1983-05,0.12013349940055269,-0.0678273342174659
1983-06,0.12005740405076323,-0.06684541889044937
1983-07,0.12042715469844303,-0.06574640047548519
1983-08,0.12177414227627671,-0.06453037090979041
1983-09,0.12191176482028808,-0.06322622003419032
1983-10,0.12311343171293096,-0.061841395281028944
1983-11,0.12316675643667492,-0.06042861555496071
1983-12,0.11866445571103583,-0.058895587794101534
1984-01,0.11775825462037971,-0.05726862340971839
1984-02,0.11764876739877103,-0.05556159462562982
1984-03,0.1139282001320472,-0.05375794699752723
1984-04,0.10784186694016384,-0.051815073717413895
1984-05,0.1004737772991653,-0.049950944448604484
1984-06,0.09820413498552887,-0.04818299966464501
1984-07,0.09833136174910208,-0.046249986972123236
1984-08,0.09497249793644813,-0.044307692416880706
1984-09,0.09475310039116983,-0.044062276978059645
1984-10,0.09299126954451685,-0.043819845767800625
1984-11,0.08913908886621508,-0.04357631687011487
1984-12,0.08550103334224947,-0.04332706769892114
1985-01,0.08473655514570241,-0.043078910589638975
1985-02,0.08474019146413968,-0.04281867988195642
1985-03,0.08714827388765813,-0.04255455021702936
1985-04,0.08951750828143014,-0.04228890673123353
1985-05,0.0916448128832022,-0.042013860759864574
1985-06,0.09434828978626468,-0.04173605069347597
1985-07,0.09819994941363876,-0.04145674851628389
1985-08,0.09757932409049588,-0.041177655001905844
1985-09,0.09480993785181671,-0.04089171038492756
1985-10,0.09729465068056957,-0.04059478692506757
1985-11,0.09752199615968431,-0.04028504744694894
1985-12,0.09829741736546069,-0.03996929686340611
1986-01,0.10047014060446613,-0.03965684665265268
1986-02,0.10097225666130899,-0.03934733509414268
1986-03,0.10204452238739006,-0.03903208601872088
1986-04,0.0965655722235683,-0.038719143287250235
1986-05,0.09370262831070945,-0.038416067153955624
1986-06,0.09234220409849726,-0.03811261340570493
1986-07,0.09024352545902545,-0.03779742084735749
1986-08,0.08758616795763026,-0.0374774576068968
1986-09,0.09035196204148978,-0.03715232831555759
1986-10,0.08885313948859978,-0.03682532903427416
1986-11,0.09206629987831692,-0.03648618921670832
1986-12,0.0958867784184221,-0.036138239537301775
1987-01,0.09404215761098283,-0.035785462114702016
1987-02,0.09157147440896278,-0.035426069253566506
1987-03,0.09358160402751049,-0.03506799559283569
1987-04,0.09106032225450497,-0.03470710591917103
1987-05,0.08614795599631792,-0.03434361927424001
1987-06,0.09200283901171913,-0.03396169612566591
1987-07,0.095659398408189,-0.0335636054250712
1987-08,0.09874257513777865,-0.03316333782422032
1987-09,0.09760402470985016,-0.032756397782727764
