,Value
Invested,5220000.0
Final value,270309128.67793745
Wealth multiple,51.783357984279206
XIRR,0.13954643722530857
TWR CAGR,0.14667925195455167
Volatility,0.08440936279040775
Sharpe,1.6716859214015802
Sortino,3.9540785281112902
Max drawdown,-0.12459984522239875
Calmar,1.1772025213413653
Worst wealth drop,-0.11813111564787293
Annual sell turnover,0.10433554823492944
Annual cost drag,0.00021145231175135105
