,Value
Invested,5220000.0
Final value,39079131.25130443
Wealth multiple,7.486423611361002
XIRR,0.07683714079506318
TWR CAGR,0.08043338904272446
Volatility,0.05500639059712199
Sharpe,1.4383018979554616
Sortino,2.760139891219485
Max drawdown,-0.1659817791091498
Calmar,0.4845916791254019
Worst wealth drop,-0.16276077568708702
Annual sell turnover,0.052628801221177
Annual cost drag,0.00011685538160438997
