,Return
1987 crash (Sep-Nov 1987),-0.25043665507262436
Dot-com bust (Sep 2000-Sep 2002),-0.3986642022684018
Global financial crisis (Nov 2007-Feb 2009),-0.459631187454171
COVID crash (Feb-Mar 2020),-0.18818761014029606
2022 rate shock (Jan-Sep 2022),-0.16697216666109616
