,Value
Invested,5220000.0
Final value,40653139.026181206
Wealth multiple,7.787957667850805
XIRR,0.07817071680997836
TWR CAGR,0.08195749284258391
Volatility,0.05673037558814507
Sharpe,1.4212973600387566
Sortino,2.681694474511885
Max drawdown,-0.1697158421256536
Calmar,0.4829100914568984
Worst wealth drop,-0.16637922358797808
Annual sell turnover,0.04720522303400683
Annual cost drag,0.00010604265433664651
