start,XIRR,Worst wealth drop
2010-02,0.13922107126132044,-0.01603122963031489
2010-03,0.13287790616963385,-0.014912138927889229
2010-04,0.11755949083243321,-0.016842754010843564
2010-05,0.10614861441514117,-0.02212978208941896
2010-06,0.1105031120643575,-0.024050411094341362
2010-07,0.10583369277125486,-0.021786803177119896
2010-08,0.10305947749790621,-0.020912773874346757
2010-09,0.09150585474791391,-0.01995050246627561
2010-10,0.08826572913380225,-0.019244667957799222
2010-11,0.09015271638347931,-0.01808354262744083
2010-12,0.08032032112305657,-0.016267927362899393
2011-01,0.07994795759415324,-0.015306176105426728
2011-02,0.07156131803947723,-0.015520116225151481
2011-03,0.06094449207162209,-0.01417234321835592
2011-04,0.08504468579474177,-0.01322725441583461
2011-05,0.08474198649234276,-0.014813113028754543
2011-06,0.08752878025385044,-0.0161369241149526
2011-07,0.09633124140768866,-0.013619883378055198
2011-08,0.1058587867501913,-0.012667494106222366
2011-09,0.10661711827183609,-0.012076453096762307
2011-10,0.09924598017249966,-0.011520049892003392
2011-11,0.09350822726810758,-0.01079039288572814
2011-12,0.07559998735505623,-0.02381801479144141
2012-01,0.07038320296521304,-0.024041580419131847
2012-02,0.08082015651372138,-0.023748127790806484
2012-03,0.09057318442844749,-0.023530034140161527
2012-04,0.09915230859921303,-0.02352514166725017
2012-05,0.09537391361966623,-0.022642985814834482
2012-06,0.10093407613724548,-0.022122779667831494
2012-07,0.09312966790782383,-0.02171485647433058
2012-08,0.10751771096636012,-0.021096246061707458
2012-09,0.10507923854572487,-0.020537476999224258
2012-10,0.0967902283854684,-0.0201717911129079
2012-11,0.10625867799043663,-0.01989239837758283
2012-12,0.10154953214336715,-0.019608997952594076
2013-01,0.10771489686403131,-0.01967446283887675
2013-02,0.11804589412058726,-0.01923499792064365
2013-03,0.10430915578159353,-0.018848147586023933
2013-04,0.09700630116734382,-0.02242619954826619
2013-05,0.10500119241077781,-0.02205942329850541
2013-06,0.10284357229932678,-0.02127512351478167
2013-07,0.09734582982146422,-0.020067814275102847
2013-08,0.10801503686118971,-0.019529904583158175
2013-09,0.11400272337855237,-0.01804863629778064
2013-10,0.0947690439988192,-0.02184039754576772
2013-11,0.0836502717860587,-0.027542268965203398
2013-12,0.08740895329108116,-0.026375515117202375
2014-01,0.08773721654094521,-0.0261263764878229
2014-02,0.08830048582023849,-0.02482978255427304
2014-03,0.08379098648656251,-0.02328995944316503
2014-04,0.09871988371896759,-0.024220272431945467
2014-05,0.09599045808410284,-0.024905010529621796
2014-06,0.09865389384783002,-0.02236267328069419
2014-07,0.0983856228939504,-0.021798636106659552
2014-08,0.08372731468564482,-0.02079772155373394
2014-09,0.0894404002588782,-0.018476900958655396
2014-10,0.09500403695867736,-0.017836941132645334
2014-11,0.10053504969540367,-0.0197388204268798
2014-12,0.1009330778418604,-0.018482475151501476
2015-01,0.10362595410193004,-0.018224478940734867
