,Value
Invested,1190000.0
Final value,1990519.5289453864
Wealth multiple,1.672705486508728
XIRR,0.10018023992949723
TWR CAGR,0.1023565407210163
Volatility,0.0881434088911271
Sharpe,1.1533539416135414
Sortino,2.24708331478213
Max drawdown,-0.08947108404249882
Calmar,1.1440181128508164
Worst wealth drop,-0.040210660662407305
Annual sell turnover,0.02372528208160224
Annual cost drag,0.00019063061061546562
Sharpe vs Liquid,0.330194182538299
