,Return
2011 slowdown + euro crisis (Jan-Dec 2011),-0.06872379748114321
"2013 taper tantrum, rupee crash (Jun-Aug 2013)",-0.017247160887134294
2015-16 China/global sell-off (Mar 2015-Feb 2016),-0.08653796578225714
2018 IL&FS crisis (Sep-Oct 2018),-0.05195088046050944
