Look-back (months),Execution,XIRR,Volatility,Sharpe,Worst wealth drop,Annual sell turnover
60,band 3%,0.1302294496136884,0.07898374413443517,1.7034140072462205,-0.08368263969926037,0.11652303664424651
60,band 5%,0.13063644249942905,0.07911401289592257,1.7057659935793146,-0.08359857302814222,0.08393214278247216
60,band 10%,0.13160690028709773,0.07978807143773568,1.7015341725094895,-0.08960276028870195,0.06130996620122933
60,pro-rata + annual rebal,0.1315997181582027,0.07922635352749985,1.7098957854500596,-0.08937997031324418,0.07909346358094634
60,"smart, never rebalance",0.13017308918568837,0.07991984416397425,1.6776775370499197,-0.08386987881993357,0.0
120,band 3%,0.12775105288422225,0.07885553980816837,1.705043629119175,-0.08981411661705607,0.08278247761279668
120,band 5%,0.1284764703050701,0.07886325251198198,1.7112958767883042,-0.08898744499923883,0.07713050238725123
120,band 10%,0.1283867537602553,0.07983948450388138,1.6926562287960256,-0.09176100701462186,0.029324813772799954
120,pro-rata + annual rebal,0.12612732919552308,0.07934833299998476,1.6800156133254187,-0.0885998601729362,0.05562760913892213
120,"smart, never rebalance",0.1288751310592875,0.08016144462272927,1.6912260077671317,-0.08309234191264192,0.0
180,band 3%,0.1264055559728506,0.0770720421630323,1.7270267465874936,-0.08485675773936507,0.07362830773957625
180,band 5%,0.12667585322423436,0.07726117896667636,1.726953604055892,-0.08521649611683657,0.04567480095856855
180,band 10%,0.12897359407989287,0.07781251926476926,1.7388910680350005,-0.08623211443909362,0.02236766188710222
180,pro-rata + annual rebal,0.1282382758118782,0.07717836536762343,1.7457588024420672,-0.08355918335599855,0.048458522891793754
180,"smart, never rebalance",0.12984211535937787,0.07994083594195976,1.7045223794012134,-0.08299646560566054,0.0
