Equity,Bonds,Gold,XIRR,Volatility,Sharpe,Max drawdown,Worst wealth drop
0.0,0.0,1.0,0.11956595755109871,0.1299505839206861,0.8471678054842995,-0.25118973583459814,-0.23502626626877654
0.0,0.1,0.9,0.11869329818386196,0.12001809821990854,0.9275117925430291,-0.20636163564729526,-0.19738977768025912
0.0,0.2,0.8,0.1176994202511802,0.11082776503040627,1.014322406470548,-0.17055323619554064,-0.16223302656492256
0.0,0.3,0.7,0.11656267471481187,0.10257370757027659,1.1053706434197186,-0.14592390110714404,-0.13454756012597646
0.0,0.4,0.6,0.11526108172095581,0.09550040073689192,1.1960135308478974,-0.13126630343103807,-0.13027871599813612
0.0,0.5,0.5,0.11377234885335155,0.08989651552704472,1.2784587551829663,-0.1268491032728163,-0.12589744364244937
0.0,0.6,0.4,0.11207379317920056,0.08606827948201139,1.3420696462472803,-0.12231874442528612,-0.12139815926943132
0.0,0.7,0.3,0.11014216643071874,0.08428664701856432,1.3757955938308128,-0.12402020038190309,-0.12060350688608679
0.0,0.8,0.2,0.10795337975413805,0.08471961165365444,1.3725591105504904,-0.13199706896136087,-0.12869732510507537
0.0,0.9,0.1,0.10548211922492468,0.0873828099371082,1.3328987110152468,-0.14453701084275883,-0.140508805996177
0.0,1.0,0.0,0.1027013353269115,0.09214077659815192,1.2646756249620057,-0.17700646315391655,-0.17209603105655003
0.1,0.0,0.9,0.12609053758552236,0.11718430578583451,1.0024452001909003,-0.16521572230453807,-0.1504177691244757
0.1,0.1,0.8,0.12522468641239268,0.10765493935701105,1.1015054808836735,-0.13714909582728196,-0.12627056813795512
0.1,0.2,0.7,0.12421418250754057,0.09901266462348556,1.2075880809701531,-0.11497914692016509,-0.1140681464896588
0.1,0.3,0.6,0.12303850631570148,0.09151081253572091,1.3159576772558648,-0.11045439373953714,-0.10958168580017391
0.1,0.4,0.5,0.12167713767817333,0.0854602995427998,1.4177014752610198,-0.10581430209668807,-0.10497542371985047
0.1,0.5,0.4,0.12010859290465462,0.08120565804620851,1.4994672451669253,-0.1010551961697379,-0.10024569081151347
0.1,0.6,0.3,0.11831117404866773,0.07906700994082132,1.5461354513528711,-0.09616871481553668,-0.09538413559777548
0.1,0.7,0.2,0.11626218682228344,0.07925593466771493,1.5469560120553076,-0.09452778100814618,-0.09165397578152534
0.1,0.8,0.1,0.11393720173079351,0.08180624481148249,1.5015322198896748,-0.10268044215061445,-0.09989759411311694
0.1,0.9,0.0,0.1113080438644596,0.08656834695815954,1.420047648845652,-0.12287760253796065,-0.11912070132368446
0.2,0.0,0.8,0.1323539111687387,0.10623855871477114,1.1728563996976797,-0.11248563874723538,-0.11017968339935702
0.2,0.1,0.7,0.13146677312942176,0.09733760952142932,1.2904347401562446,-0.09407676160854561,-0.09326199436953075
0.2,0.2,0.6,0.1304142568494282,0.08953497509951008,1.4127441621419146,-0.08933018659058123,-0.08855166727148334
0.2,0.3,0.5,0.12917641592167536,0.08315057064892976,1.530358202617938,-0.08723738719659824,-0.08416510055388093
0.2,0.4,0.4,0.12773344587352803,0.07855050584632357,1.6281121092007618,-0.0882167190311759,-0.08539536030889472
0.2,0.5,0.3,0.12606379403433918,0.07608919200098681,1.6875710945112887,-0.0892045309988978,-0.08661107815582991
0.2,0.6,0.2,0.12414698884673105,0.07601525410801324,1.694406143686796,-0.09020093942715646,-0.08781439830061188
0.2,0.7,0.1,0.12196030234493041,0.07838590406696593,1.646619278806726,-0.09527997083681161,-0.09437004082824285
0.2,0.8,0.0,0.11947649463816619,0.08305129258688304,1.555829076438371,-0.10715449306406366,-0.10626888557606395
0.3,0.0,0.7,0.13832326195680494,0.09764038220088413,1.3468592057173148,-0.10153192151321644,-0.09958036981541796
0.3,0.1,0.6,0.13739143142496466,0.08969715506593015,1.4762759134580103,-0.0824963924050458,-0.08100138085852737
0.3,0.2,0.5,0.136274552046169,0.08313148819678752,1.602384056150618,-0.0834458449676766,-0.0804800121680278
0.3,0.3,0.4,0.1349533999947866,0.07830979984007674,1.709632632942103,-0.08458339518859337,-0.08167956574814028
0.3,0.4,0.3,0.1334084265926209,0.07559604959948751,1.7783354767413158,-0.08630645048244179,-0.08286515455051613
0.3,0.5,0.2,0.13162006907090842,0.07525851205624522,1.792102487973533,-0.08810987053934216,-0.08411522658174608
0.3,0.6,0.1,0.1295650852095203,0.07737781042683577,1.747080365893111,-0.0967805301062068,-0.09601690828673104
0.3,0.7,0.0,0.12722092541558078,0.0818216891372893,1.654524192863713,-0.10865470633655117,-0.10791355456852514
0.4,0.0,0.6,0.14396746901584567,0.09199140847706924,1.5023858084152675,-0.11184286116927433,-0.1101129014583131
0.4,0.1,0.5,0.14297062030644003,0.08540707182700708,1.6278709817269215,-0.1091110254297526,-0.08290219809712818
0.4,0.2,0.4,0.14177022289181906,0.08050426429801401,1.7358244456660537,-0.11118388447502825,-0.0820408385229131
0.4,0.3,0.3,0.1403481981373717,0.0776300458392377,1.8077535651149026,-0.11334832125023508,-0.08463264634014278
0.4,0.4,0.2,0.13868408503282267,0.0770498402041894,1.8275775655766233,-0.11560954178695892,-0.08730096488021133
0.4,0.5,0.1,0.13675829517946084,0.07886155553646834,1.7901717558043377,-0.12165235713604905,-0.09762116820338418
0.4,0.6,0.0,0.13454917978839262,0.08296464063628609,1.7045547995947554,-0.128315985816853,-0.11002546927589696
0.5,0.0,0.5,0.1492575129805948,0.08982081362527042,1.6111686020823377,-0.13370088827931537,-0.12124366858833946
