Date,Equity SIP,Equal-weight SIP,60/20/20 annual rebal,Risk-parity SIP,Max-Sharpe SIP,Optimized SIP
1983,0.2655384674772463,0.06759499066375474,0.14523054176374162,0.09391191437860069,0.052309914026954285,0.07295375743122046
1984,0.2261525842020664,0.18389087723503383,0.19828803053280697,0.23179363706136957,0.24571616767541826,0.2416796575823894
1985,0.2979888385352023,0.1980542747761349,0.22877192175089256,0.21521430383300322,0.2388941036708152,0.22715210369761651
1986,0.3425140418309809,0.33764879972955786,0.3379525241651107,0.3422105883906461,0.34053069468709274,0.3436461556034578
1987,-0.017585459954430838,0.031037174358869324,0.022728540120441565,0.019593699943807108,0.001355014422812717,0.010547118820118495
1988,0.3788568632642615,0.21739476015399828,0.2785787595476672,0.2322154007120829,0.2525282728704912,0.24228950734443133
1989,0.46736915527135126,0.32333556114704254,0.36751225518399777,0.32281512393011447,0.34394012716423883,0.3339916588781582
1990,0.045106723035263085,0.06703258644581922,0.05343927691888428,0.08153653467590027,0.09273654238142015,0.08455499956393875
1991,0.7384911287509384,0.6229093109750141,0.6463040069124459,0.5924221079898679,0.6218823698602955,0.6034889133804087
1992,0.29637633843506306,0.22190637263820867,0.23158865952243546,0.18871276325303876,0.21880440083621466,0.20509914617650882
1993,0.19293880676220176,0.21797038775298216,0.21124910727651192,0.2287711781729842,0.22898804078631718,0.22872048162985203
1994,0.002827547334807612,-0.030069013147724255,-0.01579514776908919,-0.03019035268765924,-0.04957352082552502,-0.03972649649588578
1995,0.5417670054589261,0.40965416596095494,0.42890561296114393,0.33499625282120626,0.36923493849513966,0.3524739801891481
1996,0.2677822327384318,0.14457840456924553,0.16552224388537806,0.08489543434290914,0.09987466514933052,0.09483552767392278
1997,0.44683550242458936,0.29300172554288295,0.2824104238024978,0.13810297750031442,0.2744968052932504,0.20682616210066684
1998,0.35647780153872577,0.2983564878797187,0.2811242408077632,0.22353734650486334,0.3124565104106509,0.2681511977817257
1999,0.24216482692134345,0.13714785138612617,0.13408717027458317,0.05355023953509419,0.1225746138662136,0.08839418846248925
2000,0.013079823792794931,0.06934806727902454,0.060246051466452455,0.08972762762003139,0.05930790633843164,0.07985173257840406
2001,-0.1067495429378037,-0.04000816694891107,-0.03760874048695173,0.0216962155983087,-0.0434083952261628,-0.009208005868935443
2002,-0.1983054366176462,-0.05556747217581093,-0.04872630837126213,0.05055542434504834,0.014894353800485316,0.03678411180049057
2003,0.15710460746060773,0.0812770511048515,0.11910354190467753,0.08628418849581099,0.032300915712655476,0.05798395586185423
2004,0.08523839499623587,0.053103219289694525,0.061340107076226946,0.043133363529860524,0.03304164741575999,0.03803392334790745
2005,0.11255398846225328,0.10537811166291777,0.11999143951661995,0.12068404432397695,0.09284566842204978,0.1088645062739555
2006,0.11539395645974482,0.09390064600784043,0.11371495975218204,0.10334409011429235,0.06925585182682958,0.08789975426438001
2007,-0.05910973757711435,-0.028246020486319967,-0.017581341027583908,-4.0148332212663895e-05,-0.013834584428376484,-0.0066617810906510755
2008,-0.2513216572546466,0.04159269327950499,-0.006509467329571361,0.18445513823620985,0.2173005739984537,0.2027049930743039
2009,0.24772560387406717,0.11504557948683125,0.19413982368040017,0.1032406559153849,0.04866897982838969,0.0762981360660091
2010,0.10515687363763537,0.09650936750500994,0.10563874365803638,0.09293448225532952,0.0994385683937613,0.09830169114885279
2011,0.18562301961689975,0.2779417881200028,0.2526959571454308,0.30495455370760727,0.33081192659870395,0.3124797045227794
2012,0.2181301656716308,0.13696329076003777,0.1626143545230565,0.1296668022260834,0.1136439973155261,0.12319348748721537
2013,0.4669160690080023,0.17455845663256286,0.25249799992422006,0.13339540136323413,0.10334418847847004,0.11871644755713984
2014,0.17520320952968915,0.12511627516889612,0.1253565755253474,0.10970797947735389,0.10637580192363605,0.10631786068742177
2015,0.08196161420934533,0.061410871029892844,0.055135419811839226,0.048663734705754136,0.04851145644687471,0.0501777359934974
2016,0.13909899223442768,0.09828712446380461,0.10566917904265583,0.08331934358971016,0.08646203624003612,0.0859906094945635
2017,0.14549879595987192,0.08672706294675536,0.08975017256392626,0.059542689620619926,0.0660152239507632,0.06284280377157536
2018,0.08231904079199759,0.08582079181143731,0.08593847100779528,0.08799757077863934,0.08749306300807147,0.08773212133701769
2019,0.26712812531760033,0.22166753747714574,0.2215566949969432,0.1953689342739362,0.2194377689085394,0.20759564859391344
2020,0.22599358252367674,0.21614318820400213,0.2228940773642032,0.21519696452550519,0.2303499421795585,0.2333107289177927
2021,0.31348614709859524,0.20300810812412662,0.18278394967641032,0.10796116597181937,0.1483553439816554,0.12745645368443292
2022,-0.0701522369421006,-0.05109808241145086,-0.036333437049696826,-0.029663290106205276,-0.05386330360373093,-0.04152147479237045
2023,0.22841249774539918,0.18186596570893676,0.16747485905117077,0.11649494305978347,0.14492037843741734,0.1304482580331594
2024,0.3298472064088651,0.28872042568641954,0.2710537256085632,0.2073634418473378,0.24717352513220447,0.22676716211612535
2025,0.227123093058045,0.2805028258653317,0.30668959568821186,0.3066990491729682,0.36960717991419423,0.33997870191045965
2026,0.17291273818492425,0.13187762910242506,0.11533177541626682,0.08603449657148188,0.0890264713327722,0.08897445629251721
