Strategy,Windows,Median XIRR,5th pct XIRR,Worst XIRR,Best XIRR,XIRR std,% windows XIRR < 0,% windows beating Equity SIP,Median worst drop,Worst drop (any window)
Equity SIP,403,0.1682320888149336,0.01590796972450241,-0.04677748676552788,0.3283653042748886,0.0900801193236618,0.02481389578163772,0.0,-0.1626576658202481,-0.30794878025943384
Equal-weight SIP,403,0.1227035391334101,0.07985631447443638,0.06539450120128065,0.26011517935698586,0.04833275382030385,0.0,0.2555831265508685,-0.043432911433288535,-0.07585867622793885
60/20/20 annual rebal,403,0.13854529145589772,0.0597346221473298,0.037702609843962544,0.27324648255560435,0.058885090496706746,0.0,0.28287841191067,-0.06658463149346328,-0.14012947287248756
Risk-parity SIP,403,0.119747675674571,0.07334979711469747,0.060827389443834735,0.25753974347365793,0.0445343922862842,0.0,0.24813895781637718,-0.04043117756211689,-0.07959860121783346
Max-Sharpe SIP,403,0.1207422783777858,0.05629087682569174,0.034679270767986874,0.2757086153069645,0.05771006341776965,0.0,0.18362282878411912,-0.05161241968406338,-0.08157877181708517
Optimized SIP,403,0.12208671006693834,0.06644642183674385,0.049763739729437054,0.2660731068693586,0.05031368371469891,0.0,0.23325062034739455,-0.043004901667815454,-0.08058438796484646
