,Return
2011 slowdown + euro crisis (Jan-Dec 2011),0.08830820419195518
"2013 taper tantrum, rupee crash (Jun-Aug 2013)",0.04042211738014578
2015-16 China/global sell-off (Mar 2015-Feb 2016),0.05055912323001577
2018 IL&FS crisis (Sep-Oct 2018),0.00375478274717711
