,Return
2011 slowdown + euro crisis (Jan-Dec 2011),0.09109351930495735
"2013 taper tantrum, rupee crash (Jun-Aug 2013)",0.04216700615800262
2015-16 China/global sell-off (Mar 2015-Feb 2016),0.05239848871014097
2018 IL&FS crisis (Sep-Oct 2018),0.00421932087950716
