,Return
1987 crash (Sep-Nov 1987),-0.15808618352817483
Dot-com bust (Sep 2000-Sep 2002),-0.17922766814594926
Global financial crisis (Nov 2007-Feb 2009),-0.211776224641254
COVID crash (Feb-Mar 2020),-0.09168724337497469
2022 rate shock (Jan-Sep 2022),-0.14245659971939906
